// SHADOW DEMON


// ----------------------------
// SHADOW DEMON'S DISRUPTION --
// ----------------------------


"DOTA_Tooltip_ability_imba_shadow_demon_disruption"             "Disruption"
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_Note0"                        "Shadow Poison can affect units under Disruption."
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_hit_damage"               "DAMAGE ON HIT:"
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_stack_damage"             "STACK DAMAGE:"
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_tooltip_duration"         "DURATION:"
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_radius"                   "RADIUS:"
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_max_multiply_stacks"      "MAX STACKS TO MULTIPLY:"

"DOTA_Tooltip_modifier_shadow_poison_debuff"                        "Shadow Poison"
"DOTA_Tooltip_modifier_shadow_poison_debuff_Description"            "About to take %dMODIFIER_PROPERTY_TOOLTIP% damage."

"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_release"                  "Shadow Poison Release"
"DOTA_Tooltip_ability_imba_shadow_demon_shadow_poison_release_Description"      "Releases the poison to do damage on all affected enemies. Units under the effect of Disruption can still be affected by Shadow Poison."

// -------------------------------
// SHADOW DEMON'S DEMONIC PURGE --
// -------------------------------

"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge"                          "Demonic Purge"
// "DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_Description"              "Constantly purges the target enemy unit, removing positive buffs, and slowing the target for the duration. The unit slowly regains its speed until the end of the duration, upon which damage is dealt. Units under the effect of Disruption can still be affected by Demonic Purge. \n<font color='#FF7800'>Painful Purgation:</font> While Demonic Purge is active, each buff that was purged by it deals %painful_purge_damage% to the target unit and resets the slow to %max_slow%%% for %painful_slow_reset_duration% seconds. \n<font color='#FF7800'>Associative Darkness:</font> Soul Catcher and Shadow Poison pierce spell immunity to targets afflicted with Demonic Purge. In addition, Soul Catcher and Shadow Poison debuff timers pause, and they cannot be dispelled by any means. \n<font color='#FF7800'>Elated Demon:</font> Each time Demonic Purge is cast, Shadow Demon gains a stack of Elated Demon. Each stack causes Shadow Poison's first target hit to gain an additional stack of Shadow Poison. Stacks last %elated_demon_duration% seconds, and each stack has its own independent duration.\n\nUpgradable by Aghanim's Scepter.\nDISPEL TYPE: Basic Dispel"
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_Description"              "Constantly purges the target enemy unit, removing positive buffs, and slowing the target for the duration. The unit slowly regains its speed until the end of the duration, upon which damage is dealt. Units under the effect of Disruption can still be affected by Demonic Purge. \n<font color='#FF7800'>Associative Darkness:</font> Soul Catcher and Shadow Poison pierce spell immunity to targets afflicted with Demonic Purge. In addition, Soul Catcher and Shadow Poison debuff timers pause, and they cannot be dispelled by any means. \n<font color='#FF7800'>Elated Demon:</font> Each time Demonic Purge is cast, Shadow Demon gains a stack of Elated Demon. Each stack causes Shadow Poison's first target hit to gain an additional stack of Shadow Poison. Stacks last %elated_demon_duration% seconds, and each stack has its own independent duration.\n\nUpgradable by Aghanim's Scepter.\nDISPEL TYPE: Basic Dispel"
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_Lore"                     "Once Shadow Demon no longer has any need for his collected cultist, he releases it from its subservience - and its life."
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_Note0"                    "Demonic Purge will slow Spell Immune units."
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_Note1"                    "After Painful Purgation max slow wears off, the rate movement speed is restored scales based on the remaining duration of the debuff."
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_Note2"                    "Even in cases where Shadow Demon has two or more stacks of Elated Demon, it still is only the first target hit that gets the increased stacks."
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_duration"                 "DURATION:"
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_purge_damage"             "PURGE DAMAGE:"
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_charge_restore_time"      "SCEPTER CHARGE RESTORE TIME:"
"DOTA_Tooltip_ability_imba_shadow_demon_demonic_purge_scepter_description"      "Cooldown is removed, replaced with %max_charges_scepter% charges that replenish every %charge_restore_time% seconds. Also causes Demonic Purge to break its target's passive abilities while active."

"DOTA_Tooltip_modifier_imba_demonic_purge_debuff"                               "Demonic Purge"
"DOTA_Tooltip_modifier_imba_demonic_purge_debuff_Description"                   "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% and constantly being purged. Soul Catcher and Shadow Poison cannot be dispelled, pierce spell immunity, and have their durations paused."

"DOTA_Tooltip_modifier_imba_demonic_purge_elated_demon_buff"                    "Elated Demon"
"DOTA_Tooltip_modifier_imba_demonic_purge_elated_demon_buff_Description"        "Grants %dMODIFIER_PROPERTY_TOOLTIP% additional stacks on the first target hit by each cast of Shadow Poison."

// ------------------------
// SHADOW DEMON'S TALENTS --
// ------------------------

"DOTA_tooltip_ability_special_bonus_imba_shadow_demon_shadow_poison_damage"     "+{s:value} Shadow Poison damage"
"DOTA_tooltip_ability_special_bonus_imba_shadow_demon_shadow_poison_cd"         "-{s:value} Shadow Poison cooldown"
"DOTA_tooltip_ability_special_bonus_imba_shadow_demon_soul_catcher_cd"          "-{s:value} Soul Catcher cooldown"
"DOTA_tooltip_ability_special_bonus_imba_shadow_demon_demonic_purge_damage"     "+{s:value} Demonic Purge damage"
"DOTA_tooltip_ability_special_bonus_imba_shadow_demon_disruption_charges"       "+{s:value} Disruption Charges"
