"npc_dota_hero_snapfire"		"#{npc_dota_hero_snapfire} (IMBA)"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_Note0"							"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_Note0}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_Lore"							"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_jump_horizontal_distance"		"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_jump_horizontal_distance}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_impact_radius"					"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_impact_radius}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_impact_damage"					"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_impact_damage}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_impact_stun_duration"			"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_impact_stun_duration}"

"DOTA_Tooltip_ability_item_snapfire_cookie"											"#{DOTA_Tooltip_ability_item_snapfire_cookie}"
"DOTA_Tooltip_ability_item_snapfire_cookie_Description"								"#{DOTA_Tooltip_ability_item_snapfire_cookie_Description}"
"DOTA_Tooltip_ability_item_snapfire_cookie_Lore"									"#{DOTA_Tooltip_ability_item_snapfire_cookie_Lore}"
"DOTA_Tooltip_ability_item_snapfire_cookie_heal_amount"								"#{DOTA_Tooltip_ability_item_snapfire_cookie_heal_amount}"

// "dota_hud_error_cookie_target_is_rooted"
// "dota_hud_error_cookie_target_is_channeling"

"DOTA_Tooltip_ability_imba_snapfire_lil_shredder"									"#{DOTA_Tooltip_ability_snapfire_lil_shredder}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Description"						"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Description} \n\n<font color='#FF7800'>Shredder Fury:</font> Causes consecutive attacks on the same unit to deal increased damage.\n<font color='#FF7800'>Big Ol' Shredder:</font> When auto-cast is enabled, fires a single attack multiplying damage by attack count."
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Note0"								"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Note0}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Note1"								"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Note1}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Lore"								"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_attack_range_bonus"				"#{DOTA_Tooltip_ability_snapfire_lil_shredder_attack_range_bonus}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_damage"							"#{DOTA_Tooltip_ability_snapfire_lil_shredder_damage}"
// "DOTA_Tooltip_ability_imba_snapfire_lil_shredder_attack_speed_slow_per_stack"		"#{DOTA_Tooltip_ability_snapfire_lil_shredder_attack_speed_slow_per_stack}"
// "DOTA_Tooltip_ability_imba_snapfire_lil_shredder_slow_duration"						"#{DOTA_Tooltip_ability_snapfire_lil_shredder_slow_duration}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_damage_per_stack"					"FURY DAMAGE PER STACK:"
//"DOTA_Tooltip_ability_snapfire_lil_shredder_buff_duration_tooltip"

"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder"									"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_buff}"
"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder_Description"						"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_buff_Description}"

"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder_debuff"							"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_debuff}"
"dota_tooltip_modifier_imba_snapfire_lil_shredder_debuff_description"               "Attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses"								"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Description"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Description} \n\n<font color='#FF7800'>Fiery Splash Impact:</font> Blobs' slow increases the further they traveled before reaching their target area.\n<font color='#FF7800'>Mortimer Hugs:</font> Blobs' releases an additional sets of %blob_rings_count% mini-blobs after %mini_blob_counter% blobs sent, in a radius outside of the initial blob after a delay."
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Note0"							"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Note0}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Note1"							"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Note1}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Lore"							"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_projectile_speed"				"PROJECTILE SPEED:"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_damage_per_impact"				"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_damage_per_impact}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_projectile_count"				"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_projectile_count}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_impact_radius"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_impact_radius}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_burn_damage"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_burn_damage}"	
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_burn_ground_duration"			"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_burn_ground_duration}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_min_slow_pct"					"%MIN SLOW:"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_max_slow_pct"					"%MAX SLOW:"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_blob_rings_count"				"MINI-BLOBS COUNT:"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_mini_blob_counter"				"MINI-BLOBS INTERVAL:"

"DOTA_Tooltip_modifier_imba_snapfire_mortimer_kisses"								"#{DOTA_Tooltip_modifier_snapfire_mortimer_kisses}"
"DOTA_Tooltip_modifier_imba_snapfire_mortimer_kisses_Description"					"#{DOTA_Tooltip_modifier_snapfire_mortimer_kisses_Description}"

"DOTA_Tooltip_modifier_imba_snapfire_magma_burn_slow"								"#{DOTA_Tooltip_modifier_snapfire_magma_burn_slow}"
"DOTA_Tooltip_modifier_imba_snapfire_magma_burn_slow_Description"					"#{DOTA_Tooltip_modifier_snapfire_magma_burn_slow_Description}"

//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_1"		"+{s:value} Mortimer Kisses Launched"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_2"		"+1.5 Lil' Shredder Armor Reduction"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_3"		"Scatterblast Applies {s:value}s Disarm"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_4"		"+{s:value}% Mortimer Kisses Movement Slow"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_5"		"Firesnap Cookie Restores {s:value} Health"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_6"		"Lil' Shredder Uses Your Attack Damage"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_7"		"+{s:value} Scatterblast Damage"

"DOTA_Tooltip_ability_special_bonus_imba_snapfire_1"		"+{s:value} Mortimer Kisses projectile speed"
