// Lion
////===============================================================================================================
// Lion's Earth Spike
////===============================================================================================================

"DOTA_Tooltip_ability_imba_lion_impale"							"#{DOTA_Tooltip_ability_lion_impale}"
"DOTA_Tooltip_ability_imba_lion_mana_drain_Imbafication_3"					"<font color='#FF7800'>Essence Rip:</font> Targeted enemies take damage equal to %mana_pct_as_damage%%% of the mana drained from them."
"DOTA_Tooltip_ability_imba_lion_mana_drain_Imbafication_4"					"<font color='#FF7800'>Mana Pump:</font> Lion can target an ally, feeding him his own mana for the same values."

"DOTA_Tooltip_modifier_imba_manadrain_manaovercharge"					"Mana Overcharge"
"DOTA_Tooltip_modifier_imba_manadrain_manaovercharge_Description"		"Sucking in extra Mana, pumped up for the next Finger of Death."

"DOTA_Tooltip_modifier_imba_manadrain_aura_debuff"						"Mana Drain Aura"
"DOTA_Tooltip_modifier_imba_manadrain_aura_debuff_Description"			"Your magical energies are being sucked out over time."

"DOTA_Tooltip_modifier_imba_manadrain_debuff"							"Mana Drain"
"DOTA_Tooltip_modifier_imba_manadrain_debuff_Description"				"Being drained %dMODIFIER_PROPERTY_TOOLTIP% mana per second, and taking damage equal to lost mana."

"DOTA_Tooltip_modifier_imba_manadrain_buff"								"Mana Pump"
"DOTA_Tooltip_modifier_imba_manadrain_buff_Description"					"Being pumped with mana over time."

////===============================================================================================================
// Lion's Finger of Death
////===============================================================================================================

"DOTA_Tooltip_ability_imba_lion_finger_of_death"						"#{DOTA_Tooltip_ability_lion_finger_of_death}"
"DOTA_Tooltip_ability_imba_lion_finger_of_death_Description"			"<font color='#FF7800'>Trigger Finger:</font> Killing an enemy with this skill reduces its cooldown to %triggerfinger_cooldown% second, but increases its mana cost by %triggerfinger_mana_inc_pct%%% for %triggerfinger_duration% seconds."
"DOTA_Tooltip_ability_imba_lion_finger_of_death_scepter_Description"	"#{DOTA_Tooltip_ability_lion_finger_of_death_scepter_Description}"
"DOTA_Tooltip_ability_imba_lion_finger_of_death_mana_add_duration"		"TRIGGER FINGER DURATION:"
//"DOTA_Tooltip_ability_imba_lion_finger_of_death_enemies_frog_radius"	"FROG PANIC RADIUS:"
//"DOTA_Tooltip_ability_imba_lion_finger_of_death_enemies_frog_duration"	"FROG PANIC DURATION:"

"DOTA_Tooltip_modifier_imba_trigger_finger_debuff"						"Trigger Finger"
"DOTA_Tooltip_modifier_imba_trigger_finger_debuff_Description"			"Casting Finger of Death again while under this debuff will cost more mana."

"DOTA_Tooltip_modifier_imba_finger_of_death_hex"						"Frog Panic"
"DOTA_Tooltip_modifier_imba_finger_of_death_hex_Description"			"Transformed very briefly into a frog."

"DOTA_Tooltip_modifier_imba_finger_of_death_delay"						"Finger of Death Grace Period"
"DOTA_Tooltip_modifier_imba_finger_of_death_delay_Description"			"Dying under this debuff grants the caster bonus damage for Finger of Death."

"DOTA_Tooltip_modifier_imba_finger_of_death_counter"					"Finger of Death Kills"
"DOTA_Tooltip_modifier_imba_finger_of_death_counter_Description"		"Finger of Death gaining +%dMODIFIER_PROPERTY_TOOLTIP% damage from hero kills."

////===============================================================================================================
// Lion's Custom Talents
////===============================================================================================================

"DOTA_Tooltip_ability_special_bonus_imba_lion_1"                "Earth Spikes branches off creeps as well"
"DOTA_Tooltip_ability_special_bonus_imba_lion_2"                "Hexed targets have Break applied"
"DOTA_Tooltip_ability_special_bonus_imba_lion_3"                "Mana Drain Overcharge"
"DOTA_Tooltip_ability_special_bonus_imba_lion_3_Description"    "Any mana absorbed beyond full feeds into a separate pool for {s:duration} seconds, adding to Finger of Death's damage."
"DOTA_Tooltip_ability_special_bonus_imba_lion_4"                "Mana Drain slows target based on missing mana"
"DOTA_Tooltip_ability_special_bonus_imba_lion_5"                "FoD's Trigger Finger no longer requires kills"
"DOTA_Tooltip_ability_special_bonus_imba_lion_5_Description"	"Trigger Finger's debuff will now always activate, and increases to {s:value} seconds if an enemy is not killed by Finger of Death."
"DOTA_Tooltip_ability_special_bonus_imba_lion_6"                "Chain Hex spreads to two enemies simultaneously"
"DOTA_Tooltip_ability_special_bonus_imba_lion_7"                "Death Spike debuff"
"DOTA_Tooltip_ability_special_bonus_imba_lion_7_Description"  	"Earth Spike slows targets by {s:slow}% and increases damage taken from Finger of Death by {s:bonus_damage}% for {s:duration} seconds."
"DOTA_Tooltip_ability_special_bonus_imba_lion_8"            	"Mana Drain targets all enemies in aura range"
"DOTA_Tooltip_ability_special_bonus_imba_lion_8_Description"	"Range for this talent is affected by cast range increasing abilities. Constantly checks for valid enemies in radius."
"DOTA_Tooltip_ability_special_bonus_imba_lion_9"            	"+{s:value} Earth Spike Range"
"DOTA_Tooltip_ability_special_bonus_imba_lion_9_Description"	"Does not increase Hell Spike search radius."
"DOTA_Tooltip_ability_special_bonus_imba_lion_10"            	"+{s:value} AoE Hex"
