"DOTA_Tooltip_modifier_imba_earths_mark"								"Earths Mark"
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_mark_damage_per_sec_per_stack"	"EXTRA DAMAGE PER EATHS MARK:"

"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_Scepter_Tooltip"					"Magnetize becomes auto-castable. When auto-cast is on, exploding remnants pull enemies with Earths Mark to their location."

"DOTA_Tooltip_Ability_imba_earth_spirit_petrify"									"Enchant Remnant"
"DOTA_Tooltip_Ability_imba_earth_spirit_petrify_Description"						"Earth Spirit temporarily enchants a hero, granting them the properties of a Stone Remnant. After a short duration, the remnant shatters, releasing the hero and damaging nearby enemies. \n\nRequires Aghanim's Scepter."
"DOTA_Tooltip_Ability_imba_earth_spirit_petrify_Lore"								"Kaolin uses the elemental power of the Earth to temporarily petrify living beings, so that they might be conscripted into his stone funerary army."
"DOTA_Tooltip_Ability_imba_earth_spirit_petrify_duration"							"DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_petrify_damage"								"DAMAGE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_petrify_damage_radius"						"DAMAGE RADIUS:"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_1"                    "Eyes of the Mountain"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_1_Description"        "Remnants provide vision in a 200 units radius instead of around the cast point"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_2"                    "Can't Stop The Rock"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_2_Description"        "Rolling boulders disjoint projectiles and makes you invulneruable"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_3"                    "Mineral Healing"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_3_Description"        "Magnetized enemies heal you for 5 * Earth Marks every damage tick"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_4"                    "Earths Mark reduces magic resistance by 5% per stack"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_5"                    "-10 seconds Stone Remnant recharge time"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_6"                    "Ashes to Ashes"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_6_Description"        "Enemies dying in a 1000 unit radius grant a Stone Remnant charge, up to 10"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_7"                    "Eternal Mark"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_7_Description"        "Earths Mark is unpurgeable, and its duration is frozen while the target is spell immune"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_8"                    "Unrelenting Mark"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_8_Description"        "Skills don't refresh Earths Mark, but stacks decay one by one"
