// Wisp
////===============================================================================================================
// Wisp's Tether
////===============================================================================================================

"DOTA_Tooltip_ability_imba_wisp_tether"                         "TETHER"
"DOTA_Tooltip_ability_imba_wisp_relocate_return_time"			"RETURN TIME:"

"DOTA_Tooltip_modifier_imba_wisp_relocate"						"RETURN"
"DOTA_Tooltip_modifier_imba_wisp_relocate_description"			"About to return to previous location."

"DOTA_Tooltip_modifier_imba_wisp_relocate_cast_delay"				"RELOCATE"
"DOTA_Tooltip_modifier_imba_wisp_relocate_cast_delay_description"	"About to relocate."

////===============================================================================================================
// Wisp's Relocate Break
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_relocate_break"          		"BREAK RELOCATE"
"DOTA_Tooltip_ability_imba_wisp_relocate_break_description" 	"Ends Relocation, returning both Io and any tethered ally."

////===============================================================================================================
// Wisp's Relocate Break
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_swap_spirits"							"SWAP SPIRITS"
"DOTA_Tooltip_ability_imba_wisp_swap_spirits_description"				"When toggled on, spirits will disarm heroes on hit. When toggled off, spirits will silence heroes on it."
"DOTA_Tooltip_ability_imba_wisp_swap_spirits_spirit_debuff_duration"	"DISARM/SILENCE DURATION:"


////===============================================================================================================
// Wisp's Talents
////===============================================================================================================
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_1"						"+120 Overcharge attack speed, attack range, and missile speed"
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_2"						"Tether Grants Scepter Bonus"
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_3"						"Spirits grant truesight in 300 AOE radius."
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_4"						"+15% Overcharge Damage Reduction"
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_5"						"+500 Tether cast range, and max distance"
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_6"						"Attack Tethered Ally's Target"
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_7"						"Relocate grants spell immunity for 5s to Io and Tethered ally"
"DOTA_Tooltip_Ability_special_bonus_imba_wisp_8"						"Overcharge regen 5% max health and mana per second"
