"npc_dota_hero_abaddon_imba"                                    "<font color='#FF7800'>Abaddon</font>"
"npc_dota_hero_magnataur_imba"                                  "<font color='#FF7800'>Destroyer Magnataur</font>"
"npc_dota_hero_medusa_imba"                                      "<font color='#FF7800'>Medusa</font>"
"npc_dota_hero_meepo_imba"                                      "<font color='#FF7800'>Meepo"
"npc_dota_hero_morphling_imba"                                  "<font color='#FF7800'>Morphling"
"npc_dota_hero_mirana_imba"                                      "<font color='#FF7800'>Mirana</font>"
"npc_dota_hero_naga_siren_imba"                                  "<font color='#FF7800'>Naga Siren</font>"
"npc_dota_hero_necrolyte_imba"                                  "<font color='#FF7800'>Necrolyte</font>"
"npc_dota_hero_night_stalker_imba"                              "<font color='#FF7800'>Night Stalker</font>"
"npc_dota_hero_nyx_assassin_imba"                                "<font color='#FF7800'>Nyx Assassin</font>"
"npc_dota_hero_obsidian_destroyer_imba"                          "<font color='#FF7800'>Oviparous Diplodocus</font>"
"npc_dota_hero_ogre_magi_imba"                                  "<font color='#FF7800'>Ogre McGee Zax"
"npc_dota_hero_oracle_imba"                                      "<font color='#FF7800'>Oracle</font>"
"npc_dota_hero_omniknight_imba"                                  "<font color='#FF7800'>Omniknight</font>"
"npc_dota_hero_phantom_assassin_imba"                            "<font color='#FF7800'>Phantom Assassin</font>"
"npc_dota_hero_phantom_lancer_imba"                              "<font color='#FF7800'>Phantom Lancer</font>"
"npc_dota_hero_phoenix_imba"                                    "<font color='#FF7800'>Phoenix</font>"
"npc_dota_hero_pudge_imba"                                      "<font color='#FF7800'>Pudge</font>"
"npc_dota_hero_pugna_imba"                                      "<font color='#FF7800'>Pugna</font>"
"npc_dota_hero_queenofpain_imba"                                "<font color='#FF7800'>Queen of Pain</font>"
"npc_dota_hero_rattletrap_imba"                                  "<font color='#FF7800'>Clockwerk</font>"
"npc_dota_hero_razor_imba"                                      "<font color='#FF7800'>Razor"
"npc_dota_hero_riki_imba"                                        "<font color='#FF7800'>Riki</font>"
"npc_dota_hero_rubick_imba"                                      "<font color='#FF7800'>Rubick</font>"
"npc_dota_hero_sand_king_imba"                                  "<font color='#FF7800'>Sand King</font>"
"npc_dota_hero_shadow_demon_imba"                                "<font color='#FF7800'>Shadow Demon"
"npc_dota_hero_nevermore_imba"                                  "<font color='#FF7800'>Shadow Fiend</font>"
"npc_dota_hero_shadow_shaman_imba"                              "<font color='#FF7800'>Shadow Shaman</font>"
"npc_dota_hero_skywrath_mage_imba"                              "<font color='#FF7800'>Skywrath Mage</font>"
"npc_dota_hero_slardar_imba"                                    "<font color='#FF7800'>Slardar</font>"
"npc_dota_hero_slark_imba"                                      "<font color='#FF7800'>Slark</font>"
"npc_dota_hero_silencer_imba"                                    "<font color='#FF7800'>Silencer</font>"
"npc_dota_hero_sniper_imba"                                      "<font color='#FF7800'>Sniper</font>"
"npc_dota_hero_spectre_imba"                                    "<font color='#FF7800'>Spectre"
"npc_dota_hero_spirit_breaker_imba"                              "<font color='#FF7800'>Spirit Breaker</font>"
"npc_dota_hero_storm_spirit_imba"                                "<font color='#FF7800'>Storm Spirit</font>"
"npc_dota_hero_sven_imba"                                        "<font color='#FF7800'>Sven</font>"
"npc_dota_hero_techies_imba"                                    "<font color='#FF7800'>Techies</font>"
"npc_dota_hero_templar_assassin_imba"                            "<font color='#FF7800'>Templar Assassin</font>"
"npc_dota_hero_terrorblade_imba"                                "<font color='#FF7800'>Terrorblade"
"npc_dota_hero_tidehunter_imba"                                  "<font color='#FF7800'>Tidehunter</font>"
"npc_dota_hero_tinker_imba"                                      "<font color='#FF7800'>Tinker"
"npc_dota_hero_shredder_imba"                                    "<font color='#FF7800'>Timbersaw</font>"
"npc_dota_hero_tiny_imba"                                        "<font color='#FF7800'>Tiny</font>"
"npc_dota_hero_treant_imba"                                      "<font color='#FF7800'>Treant Protector</font>"
"npc_dota_hero_troll_warlord_imba"                              "<font color='#FF7800'>Troll Warlord</font>"
"npc_dota_hero_tusk_imba"                                        "<font color='#FF7800'>Tusk"
"npc_dota_hero_abyssal_underlord_imba"                          "<font color='#FF7800'>Abyssal Underlord"
"npc_dota_hero_undying_imba"                                    "<font color='#FF7800'>Undying</font>"
"npc_dota_hero_ursa_imba"                                        "<font color='#FF7800'>Ursa</font>"
"npc_dota_hero_viper_imba"                                      "<font color='#FF7800'>Viper"
"npc_dota_hero_vengefulspirit_imba"                              "<font color='#FF7800'>Vengeful Spirit</font>"
"npc_dota_hero_venomancer_imba"                                  "<font color='#FF7800'>Venomancer</font>"
"npc_dota_hero_visage_imba"                                      "<font color='#FF7800'>Visage</font>"
"npc_dota_hero_void_spirit_imba"									"<font color='#FF7800'>Void Spirit</font>"
"npc_dota_hero_warlock_imba"                                    "<font color='#FF7800'>Warlock</font>"
"npc_dota_hero_weaver_imba"                                      "<font color='#FF7800'>Weaver</font>"
"npc_dota_hero_skeleton_king_imba"                              "<font color='#FF7800'>Wraith King</font>"
"npc_dota_hero_windrunner_imba"                                  "<font color='#FF7800'>Windranger</font>"
"npc_dota_hero_winter_wyvern_imba"                              "<font color='#FF7800'>Winter Wyvern</font>"
"npc_dota_hero_wisp_imba"                                        "<font color='#FF7800'>Wisp</font>"
"npc_dota_hero_witch_doctor_imba"                                "<font color='#FF7800'>Witch Doctor</font>"
"npc_dota_hero_zuus_imba"                                        "<font color='#FF7800'>Zeus</font>"
"npc_dota_hero_pangolier_imba"									"<font color='#FF7800'>Pangolier</font>"
"npc_dota_hero_dummy_dummy"									"Selecting Hero..."
