"battlepass_blink"						"Nature Blink"
"battlepass_dark_seer_immortal2"		"#{DOTA_Item_Golden_Bracers_of_Forlorn_Precipice}"
"battlepass_huskar_immortal"			"#{DOTA_Item_Searing_Dominator}"
"battlepass_bristleback_rare"			"#{DOTA_Set_Violent_Precipitate}"
"battlepass_bristleback_rare2"			"#{DOTA_Set_Violent_Precipitate} (Champion)"
"battlepass_axe_immortal"				"Axe Unleashed"
"battlepass_nyx_assassin_immortal"		"Latticean Hierarchy"
"battlepass_skywrath_mage_immortal"		"Flight of Epiphany"
"battlepass_skywrath_mage_immortal2"	"Golden Flight of Epiphany"
"battlepass_centaur_immortal"			"Infernal Menace"
"battlepass_drow_ranger_immortal"		"Reaper's Wreath"
"battlepass_earthshaker_immortal"		"Judgement of the Fallen"
"battlepass_life_stealer_immortal"		"Dread Requisition"
"battlepass_life_stealer_immortal2"		"Golden Dread Requisition"
"battlepass_zuus_taunt"					"#{DOTA_Item_Taunt_Heavenly_Jump}"
"battlepass_alchemist_taunt"			"#{DOTA_Item_Taunt_Ogre_Hop}"
"battlepass_dark_willow_taunt"			"#{DOTA_Item_Taunt_Thorns_and_All}"
"battlepass_furion_taunt"				"#{DOTA_Item_Taunt_Make_It_Rain}"
"battlepass_invoker_taunt"				"#{DOTA_Item_Taunt_The_Master_Juggles}"
"battlepass_leshrac_taunt"				"#{DOTA_Item_Taunt_Party_On__Party_Off}"
"battlepass_lion_taunt"					"#{DOTA_Item_Taunt_To_Hell_and_Back}"
"battlepass_pangolier_taunt"			"#{DOTA_Item_Taunt_Foolish_Gallantry}"
"battlepass_slark_taunt"				"#{DOTA_Item_Taunt_RazorFlip}"
"battlepass_vengefulspirit_taunt"		"#{DOTA_Item_Taunt_The_Royal_Raspberry}"
"battlepass_windrunner_taunt"			"#{DOTA_Item_Taunt_You_Prefer_Arrows}"
"battlepass_enigma_taunt"				"#{DOTA_Item_Taunt_Enigmatic_Style}"
"battlepass_ursa_immortal"				"#{DOTA_Item_The_Alpine_Stalkers_Set}"
"battlepass_leshrac_immortal"			"Tormented Crown"
"battlepass_death_prophet_immortal"		"Mask of Mortis"
"battlepass_maelstorm"					"Gold Maelstorm"
"battlepass_maelstorm2"					"Red Maelstorm"
"battlepass_maelstorm3"					"Water Maelstorm"
"battlepass_maelstorm4"					"Emerald Maelstorm"
"battlepass_maelstorm5"					"Overgrown Maelstorm"
"battlepass_earthshaker_arcana"			"Planetfall (Celestial Summons)"
"battlepass_earthshaker_arcana2"		"Planetfall (Burning Descent)"
"battlepass_invoker_legendary"			"Acolyte of the Lost Arts"
"battlepass_phantom_assassin_arcana"	"#{DOTA_Item_Manifold_Paradox}"
"battlepass_tiny_immortal"				"Majesty of the Colossus"
