"Chest"											"ITEM"
"mutation_speed_freaks_Description"				"Movement speed increased by 50% and projectile speed increased by 500. Movespeed capped at 1000."

"mutation_river_flows"					        "River Flows"
"mutation_river_flows_Description"	        	"The river flows. Movement speed greatly increased on the water."

"mutation_wormhole"								"Wormholes"
"mutation_wormhole_Description"					"Wormholes spawn on the map. Activating one will bring you to another random wormhole."

"mutation_tug_of_war"							"Tug of War"
"mutation_tug_of_war_Description"				"Spawns a big BOB (warlock golem) on the mid lane. Every time BOB dies, he comes back stronger (more HP/damage) and he switches to the opposite team. Credits: ArcTangent (BOB Wars creator)"

"mutation_minefield"							"Minefield"
"mutation_minefield_Description"				"All kinds of mines spawn randomly across the entire map."

"mutation_no_trees"								"No Trees"
"mutation_no_trees_Description"					"All trees are cut and do not respawn."

"mutation_omni_vision"							""
"mutation_omni_vision_Description"				""

"mutation_super_runes"							"Super Runes"
"mutation_super_runes_Description"				"Runes are unusually effective"

// Not implemented yet

// Positive
"mutation_fire_sales"							"Fire Sales"
"mutation_fire_sales_Description"				"Every {minutes} minutes, items cost {cost_percent}% of their current price for {seconds} seconds."

"mutation_battle_hunger"						"Battle Hunger"
"mutation_battle_hunger_Description"			"Everytime you kill an enemy's hero your team get troll ult."

// Negative
"mutation_monkey_business"						"Monkey Business"
"mutation_monkey_business_Description"			"Standing still and uninterrupted for 3 seconds changes your shape, taking inspiration from certain surroundings. Taking damage, attacking, or using any item or ability breaks the disguise."

"mutation_the_walking_dead"						"The Walking Dead"
"mutation_the_walking_dead_Description"			"During night, zombies spawns in Jungle and attack the closest hero."

"mutation_angel_arena"							"Angel Arena"
"mutation_angel_arena_Description"				"Every 5 minutes, duels will occur. Winner team gets 2000 extra gold."

// Terrain

"mutation_river_fag"							"River Fag"
"mutation_river_fag_Description"				"makes the river impassable without forced movement for heroes."

"mutation_diretide"								"Diretide"
"mutation_diretide_Description"					"Roshan roams around finding targets, killing the enemy if no candies is given (Candies are dropped from lane/neutral creeps, 30% chance)."
"mutation_diretide_author"						"76561198015161808"

"mutation_void_path"							"Void Path"
"mutation_void_path_Description"				""

"mutation_danger_zone"							"Danger Zone"
"mutation_danger_zone_Description"				"10 Gyrocopter Call Down are casted on random positions all over the map every 10 seconds."

"mutation_reality_rift"							"Reality Rift"
"mutation_reality_rift_Description"				""

"mutation_blizzard"								"Blizzard"
"mutation_blizzard_Description"					""

"mutation_twister"								"Twister"
"mutation_twister_Description"					""
