"lang"											"en"
"imba_gamemode_settings_initial_gold"                                               "Initial gold:"
"imba_gamemode_settings_initial_gold_tooltip"                                       "Heroes' starting gold."
"imba_gamemode_settings_initial_level"                                              "Initial level:"
"imba_gamemode_settings_initial_level_tooltip"                                      "Heroes' starting level."
"imba_gamemode_settings_max_level"                                                  "Max level:"
"imba_gamemode_settings_max_level_tooltip"                                          "The maximum level that heroes can reach."
"imba_gamemode_settings_gold_tick"                                                  "Gold Tick:"

"imba_gamemode_settings_power_1"                                                    "Normal"
"imba_gamemode_settings_power_2"                                                    "High"
"imba_gamemode_settings_power_3"                                                    "Extreme"

//Picking Screen
"loading_pre_game"				"Loading heroes, please wait..."
"hero_list_title_strength"		"Strength"
"hero_list_title_agility"		"Agility"
"hero_list_title_intellect"		"Intelligence"
"hero_list_title_custom"		"Custom Heroes"
"hero_name_filler"				"Lock In"
"team_title_radiant"			"The Radiant"
"team_title_dire"				"The Dire"
"average_mmr"					"Average IMR: "
"average_ixp"					"Average IXP: "
"swap_vanilla_to_custom"		"Swap to Vanilla Heroes"
"swap_custom_to_vanilla"		"Swap to Custom Heroes"
"stats_swap"					"Toggle Stats Panel"
"confirm_pick_button"			"Select Hero"
"loading_heroes_button"			"Loading hero..."
"repick_button"					"Repick Hero"
"enter_game_button"				"Enter Game"
"welcome_label"					"Welcome to Dota IMBA!"
"custom_hero"					"Custom"
"new_hero"						"New!"
"disabled_hero"					"Disabled"
"disabled_hero_10v10"			"10v10 Disabled"
"disabled_hero_mutation"		"Mutation Disabled"
"disabled_hero_overthrow"		"Overthrow Disabled"
"picked_hero"					"Picked"
"imba_hero"						"Imba"
"vanilla_hero"					"Lazy"
"close_picking_screen"			"Force-close Picking Screen"

"gg_panel_description"			"GG confirmed in"

"imba_hero_name_filler"                         "Lock in "
"imba_strength_hero_pick_list_title"            "Strength Heroes"
"imba_agility_hero_pick_list_title"             "Agility Heroes"
"imba_intelligence_hero_pick_list_title"        "Intelligence Heroes"
"imba_custom_hero_pick_list_title"				"Custom Heroes"

"imba_waiting_for_other_players_button"         "Waiting for other players..."
"imba_loading_heroes_button"                    "Loading game..."
"imba_enter_game_button"                        "Enter game!"

"imba_radiant_team_title"                       "The Radiant"
"imba_dire_team_title"                          "The Dire"
"average_mmr"									"Average MMR: "

//Donator Tab
"donator_companion"				"Companion"
"donator_statue"				"Statue"
"donator_info"					"Select a Companion"
"companion_enabled"				"Companion enabled."
"companion_disabled"			"Companion disabled."
//	"companion_enabled"				"Companion enabled. (Click to disable)"
//	"companion_disabled"			"Companion disabled. (Click to enable)"
"companion_success"				"Companion changed with: "
"companion_error"				"Oops! Something went wrong."
"companion_not_donator"			"This feature is only for Patreon donators. Click here to pledge!"
"toggle_companion"				"Toggle Companion"

"statue_success"				"Statue changed with: "

//Leaderboard
"leaderboard"					"Leaderboard"
"leaderboard_loading"			"Loading leaderboard, please wait"
"leaderboard_rank"				"Rank"
"leaderboard_steam_avatar"		"Steam"
"leaderboard_xp"				"Experience (click to sort)"

//blue
//nature
//water
//snow
//gold
//red/Fire
//purple

//Battlepass
"imba_safe_to_leave"			"Game is safe to leave"
"imba_game_info_close"			"Close"
"battlepass"					"Battlepass"
"coming_soon"					"Upcoming feature: being able to choose reward"
"battlepass_reward_locked"		"Locked!"
"battlepass_level"				"Level: "
"battlepass_refresh"			"Refresh"

"battlepass_blink"						"Light Blue Blink"
"battlepass_blink2"						"Nature Blink"
"battlepass_blink3"						"Water Blink"
"battlepass_blink4"						"Water Blink 2"
"battlepass_blink5"						"Snow Blink"
"battlepass_blink6"						"Purple Blink"
"battlepass_blink7"						"Red Blink"
"battlepass_blink8"						"Red Blink 2"
"battlepass_blink9"						"Gold Blink"
"battlepass_blink10"					"Gold Blink 2"
"battlepass_blink11"					"Emerald Blink"
"battlepass_blink12"					"Emerald Blink 2"
"battlepass_force_staff"				"Nature Force Staff"
"battlepass_force_staff2"				"Water Force Staff"
"battlepass_force_staff3"				"Snow Force Staff"
"battlepass_force_staff4"				"Red Force Staff"
"battlepass_force_staff5"				"Emerald Force Staff"
"battlepass_radiance"					"Water Radiance"
"battlepass_radiance2"					"Red Radiance"
"battlepass_radiance3"					"Emerald Radiance"
"battlepass_sheepstick"					"Blue Pig Sheepstick"
"battlepass_sheepstick2"				"Bird Sheepstick"
"battlepass_shiva"						"Water Shiva"
"battlepass_shiva2"						"Fire Shiva"
"battlepass_shiva3"						"Emerald Shiva"
"battlepass_mekansm"					"Water Mekansm"
"battlepass_mekansm2"					"Red Mekansm"
"battlepass_mekansm3"					"Emerald Mekansm"
"battlepass_fountain"					"Nature Fountain"
"battlepass_fountain2"					"Nature Fountain 2"
"battlepass_fountain3"					"Nature Fountain 3"
"battlepass_fountain4"					"Water Fountain"
"battlepass_fountain5"					"Water Fountain 2"
"battlepass_fountain6"					"Water Fountain 3"
"battlepass_fountain7"					"Snow Fountain"
"battlepass_fountain8"					"Snow Fountain 2"
"battlepass_fountain9"					"Snow Fountain 3"
"battlepass_fountain10"					"Purple Fountain"
"battlepass_fountain11"					"Red Fountain"
"battlepass_fountain12"					"Red Fountain 2"
"battlepass_fountain13"					"Red Fountain 3"
"battlepass_fountain14"					"Gold Fountain"
"battlepass_fountain15"					"Gold Fountain 2"
"battlepass_fountain16"					"Emerald Fountain"
"battlepass_fountain17"					"Emerald Fountain 2"
"battlepass_fountain18"					"Emerald Fountain 3"
"battlepass_bottle"						"Water Bottle"
"battlepass_bottle2"					"Purple Bottle"
"battlepass_bottle3"					"Red Bottle"
"battlepass_bottle4"					"Gold Bottle"
"battlepass_bottle5"					"Emerald Bottle"
"battlepass_vengefulspirit_immortal"	"Vengeful Spirit Immortal"
"battlepass_pudge_arcana"				"Pudge Arcana (red)"
"battlepass_pudge_arcana2"				"Pudge Arcana (green)"
"battlepass_juggernaut_arcana"			"Juggernaut Arcana (blue)"
"battlepass_juggernaut_arcana2"			"Juggernaut Arcana (red)"

//	"DOTA_GoodGuys"   								"Teal Tiger"
//	"DOTA_BadGuys"    								"Yellow Monkey"
"DOTA_Custom1"    								"Pink Dragon"
"DOTA_Custom2"    								"Orange Dog"
"DOTA_Custom3"    								"Blue Rooster"
"DOTA_Custom4"    								"Green Ram"
"DOTA_Custom5"    								"Brown Rat"
"DOTA_Custom6"    								"Cyan Boar"
"DOTA_Custom7"    								"Olive Snake"
"DOTA_Custom8"    								"Purple Horse"

// GG Panel
"gg_panel"										"GG Panel"
"gg_count"										"GG player count: "
"gg_call"										"GG player count: "
