//UNIVERSAL LOADSCREEN TIPS		(25+ games played)
"dota_tip_universal_54"			"Use the Hero Demo feature, available in the Heroes tab, to learn how to play new heroes, practice last hits, or design a look for your favorite hero."
"dota_tip_universal_55"			"You see the cast range of your spells by enabling the \"Ability Rangefinder\" in the settings menu."
"dota_tip_universal_56"			"Don't be afraid to experiment by playing an unfamiliar hero."
"dota_tip_universal_57"			"Dota is best enjoyed with friends."
"dota_tip_universal_58"			"Never hesitate to mute a rude player."
"dota_tip_universal_59"			"Try not to dwell on your mistakes. Learn from them, and move on."
"dota_tip_universal_60"			"Always keep an eye on your minimap."
"dota_tip_universal_61"			"If you are experiencing gameplay stutters when using voice chat, try going to the settings menu and turning on \"Streamlined Push to Talk\"."
"dota_tip_universal_62"			"Four bounty runes will spawn when the game begins and respawn every five minutes."
"dota_tip_universal_63"			"Jungle creeps give significantly less gold bounty and experience than lane creeps."
"dota_tip_universal_64"			"Buildings with active Backdoor Protection can be identified by the blue barrier around the building and a the shield icon next to its health bar."
"dota_tip_universal_65"			"Buildings provide True Sight, revealing invisible units nearby."
"dota_tip_universal_66"			"Siege creeps deal extra damage to towers and will target enemy buildings when possible."
"dota_tip_universal_67"			"If you're having trouble against a certain hero, try playing them. You will quickly learn their weaknesses."
"dota_tip_universal_68"			"All towers grant bonus armor to nearby allies; 2 armor for tier 1 towers, and 3 armor for all other towers."
"dota_tip_universal_69"			"The Muted status prevents a hero from using items."
"dota_tip_universal_70"			"The Silenced status prevents a hero from using abilities."
"dota_tip_universal_71"			"The Break status prevents the passive abilities of a hero from triggering."

//BEGINNER LOADSCREEN TIPS		(25 - 150 games played)
"dota_tip_beginner_1"					"If you notice an enemy Hero missing from your lane, tell your teammates by saying \"Missing Top/Middle/Bottom\". You may save a teammate's life!"
"dota_tip_beginner_2"					"You can level up your abilities by holding Control and pressing that ability's shortcut key."
"dota_tip_beginner_3"					"Use Wards to reveal parts of the map and increase your awareness of the enemy team's movements."
"dota_tip_beginner_4"					"Be sure your team has a courier to deliver your items from the shop so that you can stay in the lanes gaining experience and gold."
"dota_tip_beginner_5"					"Sentry Wards reveal nearby invisible units as well as enemy Wards."		
"dota_tip_beginner_7"					"Roshan is much easier to kill if you reduce his Armor."
"dota_tip_beginner_10"				"Holding shift and clicking on shop items will add them to the Quickbuy."
"dota_tip_beginner_11"				"Striking the last hit on a tower will earn you more gold for its destruction."
"dota_tip_beginner_12"				"The \"Safe Lane\" is the longest lane on your team's side of the river. For the Dire, this is the top lane. For the Radiant, it is the bottom lane."
"dota_tip_beginner_13"				"The \"Hard Lane\" is the shortest lane on your team's side of the river. For the Dire, this is the bottom lane. For the Radiant, it is the top lane."
"dota_tip_beginner_14"				"Typically, a team only needs one courier."
"dota_tip_beginner_15"				"The movement speed bonus for having boots does not stack. No matter how many legs your chosen Hero has, you only need a single set of boots."
"dota_tip_beginner_16"				"You can view an enemy Hero's inventory and abilities by selecting them."
"dota_tip_beginner_17"				"It is often a good idea to carry a Town Portal Scroll."
"dota_tip_beginner_18"				"There are many secret paths hidden in the trees, which are often called \"juke spots\". Use these to escape attacks, or to set up an ambush."
"dota_tip_beginner_19"				"Use Dust of Appearance to reveal nearby invisible enemies."
"dota_tip_beginner_20"				"One rune will appear in the river every two minutes, either north of the middle lane or to the south. Both Runes will spawn from 40 minutes onward."
"dota_tip_beginner_21"				"If you have a Bottle, picking up a Rune will store it for later use. Storing a Rune will also refill the Bottle."
"dota_tip_beginner_22"				"You can select from many player-created Builds for your Hero by using the Build Guide button on the left side of the Top Bar."
"dota_tip_beginner_25"				"Check your minimap often! You may discover that you are about to be ambushed."
"dota_tip_beginner_26"				"Often the best way to learn a Hero's weaknesses is to play a match as them."
"dota_tip_beginner_28"				"Destroying the enemy's barracks will strengthen your team's creeps in that lane."
"dota_tip_beginner_29"				"Towers can see and attack invisible units."
"dota_tip_beginner_31"				"Be aware of your position when attacking creeps. You may wind up pushing your team's creeps, and yourself, into a dangerous location."
"dota_tip_beginner_32"				"The Side Shops sell many useful items, including Town Portal Scrolls and the components for many types of boots."
"dota_tip_beginner_33"				"Several cliff tops have special marks to highlight good locations to place Observer Wards."		
"dota_tip_beginner_36"				"Being near your team's fountain will rapidly restore your health and mana."
"dota_tip_beginner_40"				"Strength increases maximum Health. Agility increases Attack Speed. Intelligence increases maximum Mana." 
"dota_tip_beginner_41"				"The Secret Shop is not actually a secret." 
"dota_tip_beginner_42"				"A \"Carry\" is a hero that gains power slowly, becoming strong late in the game. A \"Support\" hero is often most powerful early in the game, and later enhances their team's effectiveness." 
"dota_tip_beginner_43"				"As long as your Hero is near a kill when it occurs, you will gain experience." 
"dota_tip_beginner_44"				"You can temporarily fortify your structures and creeps, preventing all damage to them, by using the Glyph of Fortification. Use it wisely; it has a very long cooldown." 
"dota_tip_beginner_45"				"Using Town Portal Scrolls allows you to teleport to any allied structure. Using Boots of Travel allows you to teleport to any allied unit."
"dota_tip_beginner_46"				"If your Courier is killed, it will return, along with any items it was carrying, after 120 seconds. Flying Courier after 180 seconds."
"dota_tip_beginner_47"				"When using a Tango, the health regeneration is always the same regardless of the size of the tree you consume." 
"dota_tip_beginner_48"				"There are many websites and videos which can help you learn more about overall tactics, team construction, and strategies for your favorite heroes." 
"dota_tip_beginner_49"				"You can give a teammate one of your Tangoes by using them on that teammate."
"dota_tip_beginner_50"				"You can use Healing Salves and Clarities on your teammates. Share the love!"		
"dota_tip_beginner_51"				"In most modes, each player automatically earns 1 gold every 0.6 seconds, or 100 gold every minute."
"dota_tip_beginner_52"				"Town Portal Scrolls can be given to teammates."
"dota_tip_beginner_53"				"Observer and Sentry Wards cannot be placed inside Roshan's pit."
"dota_tip_beginner_54"				"Unclaimed Runes will be replaced every two minutes."
"dota_tip_beginner_55"				"Earning gold by killing creeps is often called \"Farming\"."


// INTERMEDIATE LOADSCREEN TIPS		(75+ games played)	
"dota_tip_intermediate_1"			"Starting at 40 minutes, power runes will spawn at both rune spots in the river."
"dota_tip_intermediate_2"			"Items in your backpack or stash cooldown at half the regular rate."
"dota_tip_intermediate_3"			"After Roshan has been killed, he will respawn at a random time between 8 and 11 minutes."
"dota_tip_intermediate_4"			"Neutral creeps spawn at the one minute mark, and then at every minute mark thereafter."
"dota_tip_intermediate_6"			"Some spells can be dodged by using a Blink Dagger or by becoming invisible."
"dota_tip_intermediate_8"			"Attacking from an uphill position gives you an advantage as an enemy may miss their attacks or lose you in the fog of war."
"dota_tip_intermediate_9"			"Using a Pipe of Insight will allow you to negate spell damage from enemy Heroes."
"dota_tip_intermediate_10"			"Assault Cuirass boosts the Armor of nearby teammates."
"dota_tip_intermediate_11"			"When a tower is attacking you, attack-clicking on an allied creep will reset the tower's target."
"dota_tip_intermediate_12"			"Placing a Ward or unit near a neutral creep camp can prevent the creatures in that camp from respawning at the minute mark."
"dota_tip_intermediate_13"			"Monkey King Bar will grant you accuracy, which often prevents enemy Heroes from evading your attacks even when attacking uphill."
"dota_tip_intermediate_14"			"Double-clicking your Blink Dagger will cause you to automatically blink toward your team's fountain."
"dota_tip_intermediate_15"			"You can attack allied creeps that are near death. Use this to deny your enemy the gold gained from last hits."
"dota_tip_intermediate_16"			"Magic damage can be reduced by items that grant Magical Damage Resistance."
"dota_tip_intermediate_17"			"Physical damage can be reduced by items that grant Armor."
"dota_tip_intermediate_18"			"Pure damage is not reduced by Armor or by Magical Damage Resistance."
"dota_tip_intermediate_20"			"Changing the primary stat on Power Treads can break invisibility, as well as interrupt channeled spells such as using a Town Portal Scroll."
"dota_tip_intermediate_21"			"Pulling all neutral creeps out of a camp near the minute mark will allow that camp to respawn. Use this to maximize the number of creeps you kill."
"dota_tip_intermediate_22"			"Holding Control allows you to use your Bottle regeneration on an allied Hero. Bottled Runes, however, cannot be shared."
"dota_tip_intermediate_23"			"Pinned in your base? You can still make purchases from the Secret Shop by sending your Courier there. Just be careful not to send it into the enemy forces!"
"dota_tip_intermediate_24"			"When no enemy creeps are near Towers and Barracks have Backdoor Protection, which lessens the damage they take and allows them to restore their health." 
"dota_tip_intermediate_25"			"Quelling Blade only inflicts its bonus damage on enemy and neutral creeps."
"dota_tip_intermediate_26"			"The Damage Blocked values on a Stout Shield, Vanguard or Crimson Guard refer to the type of Hero carrying the shield, not the type of attacker."
"dota_tip_intermediate_27"			"Dagon, Necronomicon, and Boots of Travel can be upgraded by purchasing their recipes again."
"dota_tip_intermediate_28"			"You can give a teammate a single ward by holding Control, clicking on the ward in your inventory, then clicking on your teammate."
"dota_tip_intermediate_29"			"Blink Dagger and Force Staff can be used to climb up and down cliff sides."
"dota_tip_intermediate_30"			"Use a Quelling Blade or Battlefury to cut down trees and carve your own path through the forests."		
"dota_tip_intermediate_31"			"Illusions and creeps will not dispel Smoke of Deceit, only enemy Heroes and Towers will."
"dota_tip_intermediate_33"			"Holding Alt will display additional information in the descriptions of several abilities and items."		
"dota_tip_intermediate_34"			"Barracks cannot reveal invisible units or wards."
"dota_tip_intermediate_35"			"Buyback has a cooldown of 8 minutes."
"dota_tip_intermediate_36"			"Each hero has a primary attribute of Strength, Agility, or Intelligence. Every point in your hero's primary attribute increases their attack damage by 1."
"dota_tip_intermediate_37"			"From his second death onward, Roshan will drop Cheese in addition to the Aegis of the Immortal. Using Cheese instantly refills that hero's health by 2500 and mana by 1500."
"dota_tip_intermediate_38"			"Hero illusions deal substantially less damage to Roshan."
"dota_tip_intermediate_39"			"Remember to check your allies' inventories before purchasing an item for its aura effect. A teammate may already have that item, and most auras do not stack."
"dota_tip_intermediate_41"			"Stun durations from different skills do not stack. You can keep an enemy stunned for longer with careful timing of your skills."
"dota_tip_intermediate_42"			"Teleports from Town Portal Scrolls and Boots of Travel are not cancelled by silences or knockbacks."
"dota_tip_intermediate_43"			"The closer a Tower is to its team's Ancient, the more gold its destruction will yield."
"dota_tip_intermediate_45"			"Using a Soul Ring will grant you extra mana even if your mana is already full."
"dota_tip_intermediate_46"			"You can destroy allied Towers when they are below 10% health. Denying a Tower gives no gold to the enemy for its destruction."
"dota_tip_intermediate_47"			"You can use a Quelling Blade or Battlefury to destroy enemy observer and sentry wards; this is especially helpful for melee units to get hard to reach wards."
"dota_tip_intermediate_49"			"Physical Damage, dealt by regular attacks, some hero abilities, and some items, can be reduced with Armor or blocked by becoming Ethereal."
"dota_tip_intermediate_50"			"Magical Damage, dealt by most hero abilities and items, can be reduced with Magical Damage Resistance or blocked by Spell Immunity."
"dota_tip_intermediate_51"			"Activating Manta Style will move you from your original position when the illusions appear. Use this to confuse enemies!"
"dota_tip_intermediate_52"			"Denied creeps grant 25% of their normal experience - to both teams."
"dota_tip_intermediate_53"			"Use the Flying Courier's Shield wisely. It has a very long cooldown."
"dota_tip_intermediate_54"			"Ranged heroes and units have a 25% chance to miss when attacking uphill."
"dota_tip_intermediate_55"			"Roshan becomes stronger every minute, gaining additional health, damage, and armor."
"dota_tip_intermediate_56"			"Bounty Runes provide gold to the entire team regardless of which hero picks them up."
"dota_tip_intermediate_57"			"Some abilities cannot be blocked by spell immunity. Each ability's interaction with spell immunity is shown in its description."
"dota_tip_intermediate_58"			"Consider saving gold for Buyback. A well-timed Buyback can turn a desperate defense into a swift turnaround."
"dota_tip_intermediate_59"			"Illusions deal 60% less damage to enemy structures."
"dota_tip_intermediate_60"			"Farming in the jungle can be dangerous! You may want to buy and place a few wards to prevent enemy attempts to ambush you."
"dota_tip_intermediate_61"			"Each hero reaches their maximum effectiveness at a different time in the match."
"dota_tip_intermediate_62"			"If all enemy heroes have vanished from the minimap, they may be trying to slay Roshan, or setting up an ambush."
"dota_tip_intermediate_63"			"Try setting wards near the next objective your team wishes to attack."
"dota_tip_intermediate_64"			"Learning to play as a Support will make you a better Carry player. Learning to play as a Carry will make you a better Support player."
"dota_tip_intermediate_65"			"Scan won't reveal enemy heroes fully inside Roshan's pit, but can reveal enemy heroes around it."

	
//ADVANCED LOADSCREEN TIPS		(150+ games played)
"dota_tip_advanced_1"				"Reliable Gold is earned from killing Heroes, Roshan, and Couriers, from the destruction of enemy Towers, or from using Hand of Midas. All other earnings are Unreliable Gold, which can be lost upon death."
"dota_tip_advanced_2"				"You can pull the creatures in the neutral creep camp that is nearest to your team's Safe Lane into your lane creeps."
"dota_tip_advanced_3"				"Several items can be broken down to their component parts by right-clicking them in your inventory and choosing \"Disassemble\". Re-use those components to create new items!"
"dota_tip_advanced_4"				"Use Control Groups to issue orders to different sets of units under your control. To set a Control Group, select a unit or units, hold Control, and press a number. To select that Control Group, press that number."		
"dota_tip_advanced_5"				"If you are about to die, press your \"Purchase Quickbuy\" key to spend your gold before it disappears!"
"dota_tip_advanced_6"				"Swapping the primary attribute on Power Treads to Intelligence can give you a little extra mana."
"dota_tip_advanced_7"				"If you have an Armlet of Mordiggian, you can turn on Unholy Strength to temporarily raise your health by 500.  Disabling Unholy Strength will remove the added health, down to a minimum of 1 health."
"dota_tip_advanced_8"				"When attacking with a Desolator, even the first attack will benefit from reduced armor on the target."
"dota_tip_advanced_9"				"Activating Manta Style removes many debuffs, and will cause projectiles that are already in flight to miss."
"dota_tip_advanced_10"				"After using Buyback, 25% of a hero's remaining respawn time at the time of Buyback is added to their next death."
"dota_tip_advanced_11"				"Cheese and the Refresher Shard can both be sold for 500 gold."
"dota_tip_advanced_17"				"If you are within range of several auras with the same effect, only the most powerful aura will be active."
"dota_tip_advanced_18"				"If you know you are about to die, consider entering a neutral creep camp, or going to Roshan, and letting them kill you instead. This will deny the enemy team the gold and experience earned from your death."
"dota_tip_advanced_19"				"Melee Barracks regenerate 5 hit points per second. Ranged Barracks do not regenerate."
"dota_tip_advanced_20"				"One point of Agility increases hero attack speed by 1, armor by 0.14 and move speed by 0.05%."
"dota_tip_advanced_21"				"One point of Intelligence adds 12 maximum mana, 1.8% mana regeneration, and spell damage is increased by 1% for every 15 points"
"dota_tip_advanced_22"				"One point of Strength adds 18 maximum health, as well as 0.55% health regeneration and 1% magic resistance for every 13 points."
"dota_tip_advanced_23"				"Shadow Blade can still be activated while channeling a Town Portal Scroll, or any channeling spell."
"dota_tip_advanced_24"				"Switching Power Treads to Agility while healing allows your health and mana to restore slightly faster. Just don't forget to switch them back!"
"dota_tip_advanced_25"				"The Aegis of the Immortal can be attacked and denied."
"dota_tip_advanced_26"				"Illusions grant shared auras from their original hero to nearby units."
"dota_tip_advanced_28"				"You do not need to destroy the enemy team's barracks to damage the towers near their Ancient. Destroying barracks is optional."
"dota_tip_advanced_29"				"Warriors summoned by using a Level 3 Necronomicon have True Sight."
"dota_tip_advanced_30"				"The effects of Dust of Appearance can be purged."
"dota_tip_advanced_31"				"Runes can be attacked and denied."
"dota_tip_advanced_32"				"Cleave damage is physical damage that is not mitigated by armor."
"dota_tip_advanced_33"				"Tier 1 towers do not have backdoor protection."
"dota_tip_advanced_34"				"Tier 2 towers' backdoor protection is disabled if an enemy creep is nearby. Each Tier 2 tower's backdoor protection is independent of the others."
"dota_tip_advanced_35"				"All Tier 3 and 4 towers, Barracks, and the Ancient share their backdoor protection which is disabled when an enemy creep is near any part of the base."
"dota_tip_advanced_36"				"Backdoor protection continues to be disabled for a short time even after all enemy creeps have left the area."
"dota_tip_advanced_37"				"Blademail returns the same damage type as was received."
"dota_tip_advanced_38"				"Blademail returned damage always pierces spell immunity."
"dota_tip_advanced_39"				"Eye of Skadi pierces Spell Immunity and cannot be dispelled."
"dota_tip_advanced_40"				"Remember to always carry a Town Portal Scroll."


//HERO-SPECIFIC TIPS (see them if the hero is in the game)
"dota_tip_hero_antimage_1"			"Magic Immunity will prevent Anti-Mage's Mana Break ability from burning mana or doing extra damage."

"dota_tip_hero_axe_1"				"Axe's Battle Hunger effect can be dispelled by last hitting a lane creep or neutral."
"dota_tip_hero_axe_2"				"Axe's Berserker's Call goes through spell immunity, making it effective at locking down enemies with Black King Bar."
"dota_tip_hero_axe_3"				"Using Eul's Scepter on Axe after his Berserker's Call is an effective way to mitigate damage that allies take from his Counter Helix."
"dota_tip_hero_axe_4"				"Axe gains a movement speed bonus for every enemy that is currently affected by Battle Hunger. This includes enemy creeps and neutrals."
"dota_tip_hero_axe_5"				"Axe's illusions, for example from the Illusion rune or Manta Style, have a full strength Counter Helix"
"dota_tip_hero_axe_6"				"Axe's Culling Blade can kill targets even through Dazzle's Shallow Grave or Oracle's False Promise."

"dota_tip_hero_bane_1"				"Attacking an ally under the effect of Bane's Nightmare will release them from the Nightmare but cause you to be Nightmared instead."
"dota_tip_hero_bloodseeker_1"		"It is possible to use a Town Portal Scroll while Ruptured by Blood Seeker without taking further damage."
"dota_tip_hero_crystal_maiden_1"	"Crystal Maiden's Frostbite is not only a root, but a very short stun, good for interrupting a hero channeling a spell."
"dota_tip_hero_drow_ranger_1"		"Drow Ranger's Frost Arrows will not draw creep aggro if cast manually rather than auto-cast during an attack. You can use this to harass in lane."

"dota_tip_hero_earthshaker_1"		"Earthshaker's Echo Slam ability does more damage when many enemy units are in the area of effect. Try to spread out when facing Earthshaker."
"dota_tip_hero_earthshaker_2"		"Earthshaker's Fissure will move any unit caught in it's path to one side or the other, allowing him to move allies or enemies into more adventageous positions."
"dota_tip_hero_earthshaker_3"		"Since Eartshaker's damage bonus from Enchant Totem lasts longer than the cooldown of the spell itself, allowing him to deal massive amounts of physical damage if used before and during the fight."
"dota_tip_hero_earthshaker_4"		"Earthshaker heavily relies on items like Blink Dagger and Force Staff to get into a good position to use his spells. Limiting his mobility is crucial for mitigating his damage output."
"dota_tip_hero_earthshaker_5"		"Earthshaker's Enchant Totem has true strike, making him very effective against heroes with evasion like Phantom Assassing or items like Butterfly."
"dota_tip_hero_earthshaker_6"		"Unlike Earthshaker's other abilities, Echo Slam has a very short cast time, making it great for starting fights with enemies before they can react with defensive items."
"dota_tip_hero_earthshaker_7"		"The long range of Fissure is great for blocking off an enemy's path to escape or even preventing allied creeps from advancing for a small amount of time."
"dota_tip_hero_earthshaker_8"		"A lot of Earthshaker's utility comes from the massive amount of disable he can output. Magic immunity from an item like Black King Bar is crucial to mitigating his effectiveness."

"dota_tip_hero_juggernaut_1"		"Juggernaut's Omnislash splits attacks randomly between nearby targets - having many enemy units near Juggernaut will cause each of them to take a smaller amount of damage, instead of focusing all the hits on a single target."
"dota_tip_hero_juggernaut_2"		"Juggernaut's Blade Fury can be used to grant magic immunity before using a town portal scroll."
"dota_tip_hero_juggernaut_3"		"Juggernaut can use a blink dagger during Omnislash to connect with otherwise unreachable targets without."


"dota_tip_hero_mirana_1"			"Mirana's Sacred Arrow will fly through units friendly to Mirana."
"dota_tip_hero_morphling_1"			"Silence can be effective at locking down a slippery Morphling."
"dota_tip_hero_shadow_fiend_1"		"Shadow Fiend's Requiem of Souls will be cast on death, even if Shadow Fiend is affected by Break."
"dota_tip_hero_phantom_lancer_1"	"Phantom Lancer often chooses to build a Diffusal Blade; Magic Immunity from a Black King Bar can be used to counter this effect."
"dota_tip_hero_puck_1"				"Silence can be effective at locking down a tricky Puck."
"dota_tip_hero_pudge_1"				"Pudge's Dismember ability is channelled and can be interrupted with a silence or stun."
"dota_tip_hero_razor_1"				"Razor's Plasma Field ability does more damage the further away a target is."
"dota_tip_hero_sand_king_1"			"Sand King's Epicenter ability will continue to pulse for the full duration, even if Sand King himself dies."
"dota_tip_hero_storm_spirit_1"		"Silence can be effective at locking down an evasive Storm Spirit."
"dota_tip_hero_sven_1"				"Sven's Great Cleave causes physical damage in an area that is not mitigated by armor."
"dota_tip_hero_tiny_1"				"Units affected by Tiny's Toss will take double damage from Tiny's Avalanche."
"dota_tip_hero_vengeful_spirit_1"		"Vengeful Spirit's Vengeance Aura will increase base damage and damage from a hero's primary stat. Extra damage, for example from a Divine Rapier, will not be increased."
"dota_tip_hero_windrunner_1" 		"Windranger can choose not to attack her Focus Fire target, by attacking a different target or by issuing a stop command."
"dota_tip_hero_zuus_1"				"Zeus' Lightning Bolt can be cast on the ground to reveal nearby invisible units, including wards."
"dota_tip_hero_kunkka_1" 			"An Aeon Disk is often a good item to build late game when facing a Kunkka with many damage items."
"dota_tip_hero_lina_1"				"Lina's Laguna Blade ability will pierce spell immunity, if Lina builds an Aghanim's Scepter."
"dota_tip_hero_lion_1"				"Lion's Hex and Mana Drain abilities will instantly destroy an illusion."
"dota_tip_hero_shadow_shaman_1"		"Shadow Shaman's Mass Serpent Wards are not affected by damage block, for example from a Crimson Guard."
"dota_tip_hero_slardar_1"			"Slardar's Corrosive Haze provides True Sight and vision of the target."
"dota_tip_hero_tidehunter_1"		"Tidehunter's Kraken Shell ability will trigger a Strong Dispel on Tidehunter when enough player caused damage is done to him within a short time."
"dota_tip_hero_witchdoctor_1"		"Blade Mail will not return damage from Witchdoctor's Death Ward, as the source of the damage is the ward and not Witchdoctor himself."
"dota_tip_hero_lich_1"				"Lich's Ice Armor can be put on auto-cast which will automatically cast on nearby heroes who are being attacked."
"dota_tip_hero_riki_1"				"Riki is invulnerable and invisible during Tricks of the Trade, and cannot be revealed with True Sight during this spell."
"dota_tip_hero_enigma_1"			"Enigma's Midnight Pulse does damage based on a percentage of the target's maximum HP."
"dota_tip_hero_tinker_1"			"Tinker's Heat Seeking Missiles will only lock onto targets that Tinker has vision of."
"dota_tip_hero_sniper_1"			"Sniper's Shrapnel does not affect buildings.  Multiple Shrapnel effects do not stack on the same target."
"dota_tip_hero_necrolyte_1"			"Necrophos's Ghost Shroud ability makes him immune to physical attacks, but he takes additional magical damage in this state."
"dota_tip_hero_warlock_1"			"Warlock's Fatal Bonds ability causes damage on the victims to be shared, regardless of the distance between the victims."

"dota_tip_hero_beastmaster_1"		"Beastmaster's Primal Roar will stun spell immune targets."
"dota_tip_hero_beastmaster_2"		"Beastmaster's Wild Axes can be used to cut down trees to reveal hidden enemies."
"dota_tip_hero_beastmaster_3"		"Beastmaster's Inner Beast affects allied heroes, as well as creeps and summons. Units created with Necromonicon or Helm of the Dominator benefit greatly from this aura."
"dota_tip_hero_beastmaster_4"		"Linken's Sphere will fully block the prime target of Beastmaster's Primal Roar."
"dota_tip_hero_beastmaster_5"		"Beastmaster's Call of the Wild summons are extremely useful for scouting and harrassing enemy heroes, but give a substantial amount of gold and experience if they are killed."
"dota_tip_hero_beastmaster_6"		"A strong dispel, such as Aeon Disk or Abaddon's Aphotic Shield, can be used to remove the stun from Beastmaster's Primal Roar."

"dota_tip_hero_queenofpain_1"		"Queen of Pain's Sonic Wave ability is pure damage, and is not prevented by armor, spell resistance or spell immunity. It will also damage couriers."
"dota_tip_hero_venomancer_1"		"Damage from Venomancer's Plague Wards is not affected by damage block, for example from a Stout Shield or Crimson Guard."
"dota_tip_hero_faceless_void_1"		"Faceless Void's Time Walk does not disjoint projectiles. Time Walk is a healing effect and can be prevented by Ancient Apparition's Ice Blast or reduced with Spirit Vessel."
