//=================================================================================================================
// IMBA Runes
//=================================================================================================================
"DOTA_Tooltip_modifier_imba_haste_rune_Description"					"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and hasted. Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_modifier_imba_haste_rune_aura"						"Nightmare Shadow"
"DOTA_Tooltip_modifier_imba_haste_rune_aura_Description"			"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_modifier_imba_double_damage_rune"						"Power Surge"
"DOTA_Tooltip_modifier_imba_double_damage_rune_Description"			"Base damage multiplied by 2. Main attribute increased by 20%%."

"DOTA_Tooltip_modifier_imba_rune_doubledamage_aura"					"Power Surge"
"DOTA_Tooltip_modifier_imba_rune_doubledamage_aura_Description"		"Base damage multiplied by 1.5. Main attribute increased by 5%%."

"DOTA_Tooltip_modifier_imba_ember_rune"								"Ember Rune"
"DOTA_Tooltip_modifier_imba_ember_rune_Description"					"Grants immolation, dealing 80 + 2%% of the target's health as damage over time around you. Also adding fire to your attacks, burning targets."

"DOTA_Tooltip_modifier_imba_ember_rune_burn"						"Ember Burn"
"DOTA_Tooltip_modifier_imba_ember_rune_burn_Description"			"Deal 80 + 2%% of the target's health as damage over time, with a 20%% chance to the target to miss attacks."

"DOTA_Tooltip_modifier_imba_stone_rune"								"Stone Artifact"
"DOTA_Tooltip_modifier_imba_stone_rune_Description"					"Upon landing 7 successful hits on a target, they are turned into stone, granting magic immunity but stunning for 1 second."

"DOTA_Tooltip_modifier_imba_invisibility_rune"						"Invisibility Rune"
"DOTA_Tooltip_modifier_imba_invisibility_rune_Description"			"Invisible with +20%% movement speed. Attacking removes invisibility, dealing 200%% damage."

"DOTA_Tooltip_modifier_imba_illusion_rune"							"Illusion Rune"
"DOTA_Tooltip_modifier_imba_illusion_rune_Description"				"Gaining a 20%%% chance to negate damage taken."

// Vanilla runes override
"DOTA_Tooltip_rune_arcane"						"Arcane"
"DOTA_Tooltip_rune_arcane_description"			"Reduces cooldowns and mana costs by <font color='#FF7800'>40%</font> for 50 seconds. <font color='#FF7800'>Also increases spell amplification and cast speed by 30%. 50% of the effect is shared with allies in 1200 radius.</font>"
"DOTA_Tooltip_rune_doubledamage"				"Double Damage"
"DOTA_Tooltip_rune_doubledamage_description"	"Increases base damage by 100% <font color='#FF7800'>and main attribute by 10%. 50% of the effect is shared with allies in 1200 radius.</font>"
"DOTA_Tooltip_rune_haste"						"Haste"
"DOTA_Tooltip_rune_haste_description"			"Increases movement speed <font color='#FF7800'>by 80% and removes the 550 movement speed limit for 22 seconds. Also increases attack speed by 60. 50% of the effect is shared with allies in 1200 radius.</font>"
"DOTA_Tooltip_rune_illusion"					"Illusion"
"DOTA_Tooltip_rune_illusion_description"		"Conjures 2 illusions of your hero which deal 35% damage.  Melee illusions take 200% damage.  Ranged illusions take 300% damage.  Illusions last 75 seconds. <font color='#FF7800'>Additionally gain a 20% chance to negate damage taken for 40 seconds on all units owned by that hero within 500 radius.</font>"
"DOTA_Tooltip_modifier_imba_invisibility_rune_handler"	"Invisibility Fade Time"
"DOTA_Tooltip_rune_invisibility"				"Invisibility"
"DOTA_Tooltip_rune_invisibility_description"	"After a 2 second fade time, becomes invisible for 45 seconds. <font color='#FF7800'>This invisibility is only broken by attacking, and persists when using an ability or item. The attack that breaks invisibility deals 200% damage. Movement speed increased by 20%.</font>"
"DOTA_Tooltip_rune_regeneration"				"Regeneration"
"DOTA_Tooltip_rune_regeneration_description"	"Regenerates health and mana to maximum, at a rate of 6% max health/mana per second for 30 seconds. <font color='#FF7800'>Buff does not disappear at full health. Grants 5 stacks that are reduced on player or Roshan damage, and is only dispelled when all stacks are removed. 50% of the effect is shared with allies in 1200 radius.</font>"
"DOTA_Tooltip_rune_bounty"						"Bounty"
"DOTA_Tooltip_rune_bounty_description"			"Grants bonus Gold. <font color='#FF7800'>Multiplied by IMBA global gold multiplier.</font>"
