// Sange
"DOTA_Tooltip_Ability_item_imba_sange"							"#{DOTA_Tooltip_ability_item_sange}"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_agility"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_ms"			"%+$move_speed"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_active_duration"		"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_kaya_and_sange_active"				"Shield"
"DOTA_Tooltip_modifier_item_imba_kaya_and_sange_active_Description"	"Grants %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance and %dMODIFIER_PROPERTY_EVASION_CONSTANT%%% mana loss and cooldown reduction."

// Yasha and Kaya
"DOTA_Tooltip_Ability_item_imba_yasha_and_kaya"							"Yasha and Kaya"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_Description"				"<font color='#FF7800'><h1>Active: Shield/h1> Grants %bonus_evasion_active%%  Evasion and %bonus_cdr_active%%  mana cost and cooldown reduction for %active_duration% seconds.</font>"
// "DOTA_Tooltip_ability_item_imba_yasha_and_kaya_Lore"					"#{DOTA_Tooltip_ability_item_yasha_and_kaya_Lore}"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_Note0"					"Movement speed bonus does not stack with itself or other Yasha upgrades."
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_int"				"+$int"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_spell_amp"				"%+Spell Amplification"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_cdr"				"%+Manacost and Manaloss Reduction"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_attack_speed"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_agility"			"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_ms"				"%+$move_speed"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_evasion"			"%+$evasion"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_bonus_evasion_active"	"ACTIVE EVASION:"
"DOTA_Tooltip_ability_item_imba_yasha_and_kaya_active_duration"			"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_yasha_and_kaya_active"					"Shield"
"DOTA_Tooltip_modifier_item_imba_yasha_and_kaya_active_Description"		"Grants %dMODIFIER_PROPERTY_EVASION_CONSTANT%%% evasion and %dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%% mana loss and cooldown reduction."
