//---------------------------------------------------------------------------
//      Silencer
//---------------------------------------------------------------------------

//---------------------------------------------------------------------------
//      Silencer Arcane Curse
//---------------------------------------------------------------------------
"dota_tooltip_ability_imba_silencer_arcane_curse" "Arcane Curse"
"dota_tooltip_ability_imba_silencer_arcane_supremacy_silence_reduction_pct" "%SILENCE DEBUFF REDUCTION:"

//---------------------------------------------------------------------------
//      Silencer Glaives of Wisdom
//---------------------------------------------------------------------------
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom" "Glaives of Wisdom"
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_aghanim_description" "Glaives deal 100% bonus damage on silenced targets. Also causes Glaives to pierce spell immunity."
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_description" "Silencer enchants his glaives with his wisdom, dealing additional damage based on his Intelligence.\n<font color='#FF7800'>Tranquility of Aeol Drias:</font> Every %hits_to_silence% hits, silences the target.\n<font color='#FF7800'>Debate me:</font> Glaive hits increase the strength of Nortrom's argument by decreasing the intelligence of the opponent by %int_reduction_pct%%, up to a minimum of 1 intelligence point. Stacks and refreshes the duration each hit.\n\n<font color='#00FF40'>Glaives of Wisdom is not a unique attack modifier and stacks with any other attack modifier.</font>\n\n<font color='#00FF40'>Upgradable by Aghanim's Scepter.</font>"
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_intellect_damage_pct" "%INT TO DAMAGE:"
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_int_reduction_duration" "INT REDUCTION TIME:"
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_lore" "Although lacking in traditional incantations, Nortrom's pedigree of the Aeol Drias gives him uncanny wisdom, which he applies to debates with his opponents."
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_note0" "Target must be hit within 10 seconds from the last hit for the hit to count towards the silence requirement."
"dota_tooltip_ability_imba_silencer_glaives_of_wisdom_silence_duration" "SILENCE DURATION:"

//---------------------------------------------------------------------------
//      Silencer Global Silence
//---------------------------------------------------------------------------
"dota_tooltip_ability_imba_silencer_global_silence" "Global Silence"
"dota_tooltip_ability_imba_silencer_global_silence_description" "Silencer curses all enemy heroes and units.\n<font color='#FF7800'>Silence! Do Not Speak:</font> Should a cursed enemy attempt to cast a spell, be mid cast or channel any spell while under the curse, they are immediately silenced for the rest of the duration, and have Last Word applied on them."
"dota_tooltip_ability_imba_silencer_global_silence_duration" "DURATION:"
"dota_tooltip_ability_imba_silencer_global_silence_lore" "After years of dealing with loud-mouthed spellcasters, Nortrom came up with a warning curse. Should an afflicted being not heed it, they will know Nortroms wrath. Unfortunetly for them, people can rarely keep their mouths shuts."
"dota_tooltip_ability_imba_silencer_global_silence_note0" "Until a unit attempts to cast, it is not actually silenced. If it does, it becomes silenced for the rest of the duration."

//---------------------------------------------------------------------------
//      Silencer Last Word
//---------------------------------------------------------------------------
"dota_tooltip_ability_imba_silencer_last_word" "Last Word"
"dota_tooltip_ability_imba_silencer_last_word_damage" "DAMAGE:"
"dota_tooltip_ability_imba_silencer_last_word_description" "Enchants a target, causing them to be damaged and silenced if they cast a spell or if the enchantment timer expires.\n<font color='#FF7800'>Damned If You Do:</font> If the target casts a spell, Last Word will be recast on them after the silence expires (or is purged).\n<font color='#FF7800'>Damned If You Don't:</font> Disarms the target for the duration of the initial cast."
"dota_tooltip_ability_imba_silencer_last_word_duration" "INITIAL DURATION:"
"dota_tooltip_ability_imba_silencer_last_word_lore" "Nortrom ensures that spells uttered by his opponents will be their last."
"dota_tooltip_ability_imba_silencer_last_word_silence_duration" "SILENCE DURATION:"

//---------------------------------------------------------------------------
//      Silencer Talents
//---------------------------------------------------------------------------
"dota_tooltip_ability_special_bonus_imba_silencer_1" "25% of damage dealt by Arcane Curse now heals you"
"dota_tooltip_ability_special_bonus_imba_silencer_2" "Arcane Curse spreads in 900 radius on target death"
"dota_tooltip_ability_special_bonus_imba_silencer_3" "+25% Silence duration"
"dota_tooltip_ability_special_bonus_imba_silencer_4" "Arcane Supremacy grants silence immunity"
"dota_tooltip_ability_special_bonus_imba_silencer_5" "Global Silence Glaive Extension"
"dota_tooltip_ability_special_bonus_imba_silencer_5_description" "Glaives increase Global Silence debuff duration by 0.5 seconds per hit"
"dota_tooltip_ability_special_bonus_imba_silencer_6" "Overrides Debate Me with a stronger effect"
"dota_tooltip_ability_special_bonus_imba_silencer_6_description" "When the target has no more intelligence to reduce, the target's mind explodes, dealing all of Silencer's current intelligence, and the amount that was reduced to the target, as pure damage."
"dota_tooltip_ability_special_bonus_imba_silencer_7" "Unpurgeable Global Silence, paused on spell immune"
"dota_tooltip_ability_special_bonus_imba_silencer_8" "Last Word now gains an innate silencing aura"
