// Alchemist's Acid Spray
"DOTA_Tooltip_ability_imba_alchemist_acid_spray"                        "Acid Spray"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_Note0"              "Acidic Emanations behaves similar to Acid Spray by all means: deals damage, reduces armor and grants stacks of Sticky Acid."
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_duration"            "DURATION:"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_base_attack_time"	"BASE ATTACK TIME:"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_bonus_health_regen"	"BONUS HEALTH REGEN:"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_bonus_mana_regen"	"BONUS MANA REGEN:"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_bonus_movespeed"		"BONUS MOVESPEED:"
"DOTA_Tooltip_ability_imba_alchemist_chemical_rage_scepter_gold_damage"	"%SCEPTER GOLD TO DAMAGE:"

"DOTA_Tooltip_modifier_imba_chemical_rage_buff_haste"                  "Chemical Rage"
"DOTA_Tooltip_modifier_imba_chemical_rage_buff_haste_Description"                   "Grants lower Base attack time, bonus health and mana regeneration and bonus move speed. Emitting Acid Aura on nearby enemies."

"DOTA_Tooltip_modifier_imba_chemical_rage_aura_buff"                    "Extra Incentive"
"DOTA_Tooltip_modifier_imba_chemical_rage_aura_buff_Description"                    "Damage increased based on Alchemist Greevil's Greed's stacks."

// Alchemist's Mammonite
"DOTA_Tooltip_ability_imba_alchemist_mammonite"                        "Mammonite"
"DOTA_Tooltip_ability_imba_alchemist_mammonite_Description"            "Can be toggled on and off freely. When toggled on, Alchemist uses some of the gold he has accumulated, covering his punches with gold, causing Alchemist's attacks to drain a portion of its current gold and deal that amount as bonus damage."
"DOTA_Tooltip_ability_imba_alchemist_mammonite_Note0"                  "The gold is spent when the attack lands."
"DOTA_Tooltip_ability_imba_alchemist_mammonite_Note1"                  "The amount of gold spent is based on your current gold, so the more gold you have, the more gold spent. This amount is added to your attacks. It uses unreliable gold first, if possible."
"DOTA_Tooltip_ability_imba_alchemist_mammonite_Lore"                    "You can use money to do other things than just buy items."
"DOTA_Tooltip_ability_imba_alchemist_mammonite_gold_damage"            "%CURRENT GOLD TO DAMAGE:"
"DOTA_Tooltip_ability_imba_alchemist_mammonite_aghanim_description"		"Adds a new ability: Mammonite. Deals a portion of your current gold as damage, but spends that amount of gold on every attack."

// Alchemist's Custom Talents
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_1"                   "+15% Sticky Acid Slow"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_2"                   "Unstable Concoction can grant allies Chemical Rage"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_2_Description"		"Chemical Rage duration is equal to triple the amount of time concoction is brewed."
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_3"                   "Bounty runes spawn gold bags"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_4"                   "Acid Spray victims drops gold bags"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_5"                   "Greed stacks increase Acid Spray damage"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_5_Description"		"Extra damage is equal to 40% of Greevil's Greed stacks."
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_6"                   "Volatile Flask"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_6_Description"		"When in Chemical Rage, Alchemist brews Unstable Concoction twice as fast."
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_7"                   "+150% gold from bounty runes for Greevil's Greed"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_8"                   "Chemical Rage grants a 700 radius damage aura"
"DOTA_Tooltip_ability_special_bonus_imba_alchemist_8_Description"		"Damage granted is equal to Alchemist's Greevil's Greed stacks."
