//TEMPLAR ASSASSIN
"DOTA_Tooltip_ability_imba_templar_assassin_trap_teleport_trap_bonus_damage"       "TRAP DETONATE DAMAGE:"

"DOTA_Tooltip_modifier_imba_templar_assassin_refraction_damage"				"Refraction - Damage"
"DOTA_Tooltip_modifier_imba_templar_assassin_refraction_damage_Description"	"Increasing attack damage by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
"DOTA_Tooltip_modifier_imba_templar_assassin_refraction_absorb"				"Refraction - Absorb"
"DOTA_Tooltip_modifier_imba_templar_assassin_refraction_absorb_Description"	"Absorbs any incoming damage."
"DOTA_Tooltip_modifier_imba_templar_assassin_meld"							"Meld"
"DOTA_Tooltip_modifier_imba_templar_assassin_meld_Description"				"Invisible, bonus damage on attack."
"DOTA_Tooltip_modifier_imba_templar_assassin_meld_armor"						"Meld Armor Reduction"
"DOTA_Tooltip_modifier_imba_templar_assassin_meld_armor_Description"			"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"DOTA_Tooltip_modifier_imba_templar_assassin_meld_linger"					"Meld Inner Eye"
"DOTA_Tooltip_modifier_imba_templar_assassin_meld_linger_Description"		"Gaining flying vision, and bonus vision if enough time has elapsed."

"DOTA_Tooltip_modifier_imba_templar_assassin_psi_blades"				"Psi Blades"
"DOTA_Tooltip_modifier_imba_templar_assassin_psi_blades_Description"	"Accelerates every four attacks."

"DOTA_Tooltip_modifier_imba_templar_assassin_trap_slow"						"Trap"
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_slow_Description"			"Movement speed decreased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% up to %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_imba_templar_assassin_psionic_trap_counter"			"Psionic Trap Count"
"DOTA_Tooltip_modifier_imba_templar_assassin_psionic_trap_counter_Description"	"Psionic Trap Count"

"DOTA_Tooltip_modifier_imba_templar_assassin_psionic_trap"					"Fully Charged"

"DOTA_Tooltip_modifier_imba_templar_assassin_trap_limbs"						"Target Limbs"
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_limbs_Description"			"Attack speed decreased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and turn rate decreased by %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%%."
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_eyes"							"Target Eyes"
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_eyes_Description"				"Vision reduced by %dMODIFIER_PROPERTY_BONUS_VISION_PERCENTAGE%%%, and cannot see attackers outside of vision."
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_nerves"						"Target Nerves"
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_nerves_Description"			"Mini-stunned whenever a move, attack, or cast order is issued."

"DOTA_Tooltip_modifier_imba_templar_assassin_trap_springboard"					"Springboard"
"DOTA_Tooltip_modifier_imba_templar_assassin_trap_springboard_Description"		"Being propelled by a psionic trap."

"DOTA_Tooltip_ability_special_bonus_imba_templar_assassin_psionic_trap_damage"		"+{s:value} Psionic Trap Damage"
"DOTA_Tooltip_ability_special_bonus_imba_templar_assassin_meld_dispels"				"Meld Dispels"
"DOTA_Tooltip_ability_special_bonus_imba_templar_assassin_meld_dispels_Description"	"Applies a basic dispel to Templar Assassin."
"DOTA_Tooltip_ability_special_bonus_imba_templar_assassin_meld_armor_reduction"		"{s:value} Meld Armor Reduction"
"DOTA_Tooltip_ability_special_bonus_imba_templar_assassin_meld_bash"				"{s:value}s Meld Hit Bash"
"DOTA_Tooltip_ability_special_bonus_imba_templar_assassin_refraction_instances"		"+{s:value} Refraction Instances"
