// Anti Mage
// Anti Mage's Mana Break
"DOTA_Tooltip_modifier_imba_antimage_blink_charges_Description"                     "Blink can be cast as long as there's at least one charge."

// Anti Mage's Spell Shield
"DOTA_Tooltip_ability_imba_antimage_spell_shield"                      "Counterspell"
"DOTA_Tooltip_ability_imba_antimage_spell_shield_Description"          "Passively grants you magic resistance. Can be activated to create an anti-magic shell around you that sends any targeted spells back towards enemies instead of affecting you.\n<font color='#FF7800'>Trading Places:</font> Can be set to auto-cast. If the active component of Counterspell blocks an ability while auto-cast is on, Anti-Mage and the caster immediately switch positions with each other."
"DOTA_Tooltip_ability_imba_antimage_spell_shield_Note0"                "Increases the magic resistance bonus additively, not multiplicatively."
"DOTA_Tooltip_ability_imba_antimage_spell_shield_Lore"                  "Anti-Mage's burning hatred for magic makes him impervious against most of its vile effects."
"DOTA_Tooltip_ability_imba_antimage_spell_shield_magic_resistance"                  "%MAGIC RESISTANCE:"
"DOTA_Tooltip_ability_imba_antimage_spell_shield_active_duration"                   "#{DOTA_Tooltip_ability_fountain_glyph_duration}"
"DOTA_Tooltip_ability_imba_antimage_spell_shield_aghanim_description"               "Automatically shields and reflects one spell to its original caster upon getting hit by a targeted spell. This effect has an internal cooldown of 6 seconds."

"DOTA_Tooltip_modifier_imba_spell_shield_buff_reflect"                  "Spell Shield"
"DOTA_Tooltip_modifier_imba_spell_shield_buff_reflect_Description"                  "Counter and reflect every spell for a short duration"

"DOTA_Tooltip_modifier_imba_antimage_blink_spell_immunity"              "Blink Spellguard"
"DOTA_Tooltip_modifier_imba_antimage_blink_spell_immunity_Description"              "Protected from magic briefly."

"DOTA_Tooltip_modifier_imba_spellshield_scepter_ready"                  "Spellshield Ready"
"DOTA_Tooltip_modifier_imba_spellshield_scepter_ready_Description"                  "Scepter's Spellshield will automatically reflect the next targeted spell on you."

"DOTA_Tooltip_modifier_imba_spellshield_scepter_recharge"              "Spellshield Recharge"
"DOTA_Tooltip_modifier_imba_spellshield_scepter_recharge_Description"               "Scepter's Spellshield effect has been recently used and is now recharging."

// Anti Mage's Mana Void
"DOTA_Tooltip_ability_imba_antimage_mana_void"								"Mana Void"
"DOTA_Tooltip_ability_imba_antimage_mana_void_Description"					"For each point of mana missing by the target unit, damage is dealt to it and surrounding enemies. The main target is also mini-stunned.\n<font color='#FF7800'>PURITY OF WILL:</font> Mana Void deals pure damage.\n<font color='#FF7800'>The Magic Ends Here:</font> Burns part of the target's mana pool before calculating damage."
"DOTA_Tooltip_ability_imba_antimage_mana_void_Note0"						"Damage is calculated based on the main target's missing mana."
"DOTA_Tooltip_ability_imba_antimage_mana_void_Lore"							"The magic ends here."
"DOTA_Tooltip_ability_imba_antimage_mana_void_mana_void_damage_per_mana"	"DAMAGE PER MANA MISSING:"
"DOTA_Tooltip_ability_imba_antimage_mana_void_mana_void_ministun"			"STUN DURATION:"
"DOTA_Tooltip_ability_imba_antimage_mana_void_mana_void_aoe_radius"			"#{DOTA_Tooltip_ability_filler_ability_radius}"
"DOTA_Tooltip_ability_imba_antimage_mana_void_mana_void_mana_burn_pct"		"%MANA BURN:"
"DOTA_Tooltip_ability_imba_antimage_mana_void_aghanim_description"			"Mana Void kills cause the enemy's highest cooldown ability to take longer to cool down, and increases stun duration."
// "DOTA_Tooltip_ability_imba_antimage_mana_void_aghanim_description"			"#{DOTA_Tooltip_ability_antimage_mana_void_aghanim_description}"

"DOTA_Tooltip_ability_imba_antimage_mana_void_scepter_cooldown_increase"	"SCEPTER COOLDOWN INCREASE:"
"DOTA_Tooltip_ability_imba_antimage_mana_void_scepter_ministun"				"SCEPTER STUN DURATION:"

"DOTA_Tooltip_modifier_imba_mana_void_stunned"                        "Mana Void"
"DOTA_Tooltip_modifier_imba_mana_void_stunned_Description"            "Stunned by Anti-Mage's mana void."

"DOTA_Tooltip_modifier_imba_mana_void_scepter" 							"Sundered Cabal"
"DOTA_Tooltip_modifier_imba_mana_void_scepter_Description"				"Died while under the effects of Aghanim's Scepter Mana Void. Upon respawn, your highest cooldown ability will incur a further 70 second increased cooldown."

// Anti Mage's Custom Talents
"Dota_Tooltip_Ability_special_bonus_imba_antimage_1"                    "Blink Stores 2 Charges"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_2"                    "Spell Shield can be used while disabled"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_3"                    "-0.2 Blink cast point"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_4"                    "+10% of target's missing mana to Mana Break damage"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_5"                    "+10% Blink mana burned"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_6"                    "Magic Overload"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_6_Description"		"Mana Void explosion is delayed by 2 seconds. Each point of mana lost during this period counts as 3 missing mana in final damage calculations."
"Dota_Tooltip_Ability_special_bonus_imba_antimage_7"                    "Devoid of Essence"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_7_Description"    "Mana Break attacks burn 45% of mana burned to enemies in 400 AoE."
"Dota_Tooltip_Ability_special_bonus_imba_antimage_8"                    "Nirvana"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_8_Description"    "Mana Void counts missing mana from all targets in the AOE."
"Dota_Tooltip_Ability_special_bonus_imba_antimage_9"					"Blink Uncontrollable Illusion"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_9_Description"		"After blinking, an uncontrollable illusion is created at Anti-Mage's original location.  Deals 25%% damage, takes 250%% damage, and lasts 10 seconds."
"Dota_Tooltip_Ability_special_bonus_imba_antimage_10"                    "-2.5s Blink Cooldown"
"Dota_Tooltip_Ability_special_bonus_imba_antimage_11"                    "+25% Counterspell Magic Resistance"
