//SPIRIT BREAKER
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_Lore"						"The signature strike of Barathrum's ghostly ball and chain."
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_Description"				"Gives a chance to stun and knockback an enemy unit on an attack. Deals a percentage of movement speed as damage.\n<font color='#FF7800'>Power Forward:</font> Spirit Breaker gains %bonus_movespeed_pct%%% bonus movement speed and becomes unslowable for %movespeed_duration% seconds after a bash occurs."
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_Note0"					"Does not stack with Skull Basher."
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_chance_pct"				"%CHANCE TO BASH:"
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_damage"					"%MOVESPEED AS DAMAGE:"
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_knockback_duration"		"KNOCKBACK DURATION:"
"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_duration"					"STUN DURATION:"
//"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_bonus_movespeed_pct"		"%BONUS MOVE SPEED:"
//"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash_movespeed_duration"		"SPEED DURATION:"


"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike"							"Nether Strike"
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_Lore"					"Barathrum temporarily returns to the realm from where he came, bringing with him the retribution of both worlds."
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_Description"				"Spirit Breaker slips into the nether realm, reappearing next to his hapless victim. Upon reappearing, a Greater Bash of the current level occurs and deals bonus damage. Knocks back for double the normal distance. \n\nUpgradable by Aghanim's Scepter.\n<font color='#FF7800'>BIG DICK ENERGY:</font> Spirit Breaker receives %big_dmg_reduction%%% less damage during Nether Strike's original cast point.\n<font color='#FF7800'>Warp Beast:</font> Disjoints projectiles.\n<font color='#FF7800'>Planeswalker:</font> If auto-cast is on, after casting Nether Strike, all non-magic immune enemies within cast range around the original target are marked for dimensional warping for %planeswalker_duration% seconds. During this duration, Spirit Breaker can freely cast Nether Strike on the marked targets once each at %planeswalker_reduction%%% reduced cast point and mana cost."
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_Note0"					"Spirit Breaker appears behind the target to deliver the bash."
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_damage"					"BONUS DAMAGE:"
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_tooltip_range"			"RANGE:"
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_cast_range_scepter"		"SCEPTER RANGE:"
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_bash_radius_scepter"		"SCEPTER BASH RADIUS:"
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_cooldown_scepter"		"SCEPTER COOLDOWN:"
"DOTA_Tooltip_ability_imba_spirit_breaker_nether_strike_aghanim_description"		"Causes the Greater Bash to hit an area around the initial target, decreases cooldown, and increases cast range."

"DOTA_Tooltip_modifier_knockback"												"Greater Bash"
"DOTA_Tooltip_modifier_knockback_Description"									"Stunned"

"DOTA_Tooltip_modifier_imba_spirit_breaker_charge_of_darkness"					"Charge of Darkness"
"DOTA_Tooltip_modifier_imba_spirit_breaker_charge_of_darkness_Description"		"Charging! Move speed boosted by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_modifier_imba_spirit_breaker_charge_of_darkness_clothesline"					"Clothesline"
"DOTA_Tooltip_modifier_imba_spirit_breaker_charge_of_darkness_clothesline_Description"		"On the receiving end of a brutal tackle."

"DOTA_Tooltip_modifier_imba_spirit_breaker_charge_of_darkness_taxi"				"Taxi!"
"DOTA_Tooltip_modifier_imba_spirit_breaker_charge_of_darkness_taxi_Description"	"Hitching a ride on the Darkness Express. Dismount by issuing a hold or stop command."

"DOTA_Tooltip_modifier_imba_spirit_breaker_bulldoze"									"Bulldoze"
"DOTA_Tooltip_modifier_imba_spirit_breaker_bulldoze_Description"						"Gaining %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movement speed and %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance."

"DOTA_Tooltip_modifier_imba_spirit_breaker_bulldoze_empowering_haste"				"Empowering Haste"
"DOTA_Tooltip_modifier_imba_spirit_breaker_bulldoze_empowering_haste_Description"	"Moving %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% faster."

"DOTA_Tooltip_modifier_imba_spirit_breaker_greater_bash_speed"						"Greater Bash Speed"
"DOTA_Tooltip_modifier_imba_spirit_breaker_greater_bash_speed_Description"			"Gaining %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movement speed."

"DOTA_Tooltip_modifier_imba_spirit_breaker_nether_strike_planeswalker"				"Planeswalker"
"DOTA_Tooltip_modifier_imba_spirit_breaker_nether_strike_planeswalker_Description"	"Temporarily gaining the ability to rapidly warp between dimensions."

"DOTA_Tooltip_modifier_imba_spirit_breaker_nether_strike_planeswalker_enemy"				"Planeswalker Marking"
"DOTA_Tooltip_modifier_imba_spirit_breaker_nether_strike_planeswalker_enemy_Description"	"Marked as a potential target for dimensional warping."

"DOTA_Tooltip_ability_special_bonus_imba_spirit_breaker_charge_speed"			"+175 Charge of Darkness Bonus Speed"
"DOTA_Tooltip_ability_special_bonus_imba_spirit_breaker_bash_chance"			"+25% Greater Bash Chance"
"DOTA_Tooltip_ability_special_bonus_imba_spirit_breaker_bulldoze_cooldown"		"-7s Bulldoze Cooldown"
"DOTA_Tooltip_ability_special_bonus_imba_spirit_breaker_bonus_health"			"+1000 Health"
