//=================================================================================================================
// Invoker  -- All spells are vanilla spelld. We only need tooltip for modifiers and talents
//=================================================================================================================
"DOTA_Tooltip_modifier_imba_invoker_ghost_walk"									"GHOST WALK"
"DOTA_Tooltip_modifier_imba_invoker_ghost_walk_description"						"Invisible, movement speed changed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and slowing nearby enemies"
"DOTA_Tooltip_modifier_imba_invoker_ghost_walk_aura"							"GHOST WALK"
"DOTA_Tooltip_modifier_imba_invoker_ghost_walk_aura_description"				"Near a ghost! Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_1"						"Rechargable E.M.P"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_1_description"			"When EMP successfuly drains %threshold% targets it will recharge and repeat a second time at %effect_reduction%%% efficiency."
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_2"						"Chaos Meteor"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_2_description"			"Chaos Meteor's damage and debuff intervall is reduced by %reduced_damage_interval% seconds."
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_3"						" +%additional_spirits% Forged Spirit Summoned"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_3_description"				"Summons %additional_spirits% additional Forged Spirit.\nDuration for each spirit is reduced by %reduced_duration%"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_4"						"THICC Icewall"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_4_description"			"It's sooo THICC!"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_5"						"Cataclysm"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_5_description"			"Launched alongside Sun Strike! Puts it on %cooldown% second cooldown.\nCreates 2 visible Sun Strikes within %minimum_range%-%maximum_range% range of each enemy hero."
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_6"						"AOE Alacrity"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_6_description"			"Alacrity is applied in a 350 range radius to the main target."
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_7"						"Radial Deafening Blast"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_7_description"			"Releases %number_of_blasts% Deafening Blasts around Invoker in a circular pattern.\nAn enemy can only be hit once per cast."
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_8"						"Empowered Tornado"
"DOTA_Tooltip_Ability_imba_special_bonus_unique_invoker_8_description"			"Tornados cooldown is reduced by -%cooldown_reduction% seconds.\nEnemies are disarmed for %disarm_duration% seconds 
"dota_tooltip_ability_special_bonus_unique_invoker_3" 							"Empowered Tornado"
"DOTA_Tooltip_Ability_special_bonus_unique_invoker_3_description"				"Cooldown is reduced by -16 seconds.\nEnemies are disarmed for 3 seconds when landing."

"DOTA_Tooltip_Ability_invoker_forge_spirit_description"							"Invoker forges a spirit embodying the strength of fire and fortitude of ice. Damage, mana, and armor are based on the level of <font color='#E68A00'>Exort</font> while attack range, health, and duration are based on the level of <font color='#0066FF'>Quas</font>. The elemental's scorching attack is capable of melting the armor of enemy heroes.\n<font color='#FF7800'>Forge Mastery:</font> Summons an additional Spirit if <font color='#0066FF'>Quas</font> and <font color='#E68A00'>Exort</font> has reached level 4."
"DOTA_Tooltip_Ability_invoker_forge_spirit_note0"								"Casting this ability will NOT replace currently summoned Forged Spirits"
"DOTA_Tooltip_modifier_imba_invoker_tornado_empower_debuff"						"Dazed"
"DOTA_Tooltip_modifier_imba_invoker_tornado_empower_debuff_description"			"Passives dissabled."
"DOTA_Tooltip_Ability_invoker_emp_description"									"Invoker builds up a charge of electromagnetic energy at a targeted location which automatically detonates after 2.5 seconds. The detonation covers an area, draining mana based on the level of <font color='#d671a9'>Wex</font>. Deals damage for each point of mana drained. If EMP drains mana from an enemy hero, Invoker gains 50% of the mana drained.\n<font color='#FF7800'>Aftershock:</font> Drained enemies have their mana regeneration disabled for 5.0 seconds."
"DOTA_Tooltip_modifier_imba_invoker_emp"										"Aftershock"
"DOTA_Tooltip_modifier_imba_invoker_emp_description"							"Mana regeneration disabled."
