"npc_dota_hero_snapfire"		"#{npc_dota_hero_snapfire} (IMBA)"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_jump_horizontal_distance"		"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_jump_horizontal_distance}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_impact_radius"					"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_impact_radius}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_impact_damage"					"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_impact_damage}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_impact_stun_duration"			"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_impact_stun_duration}"

"DOTA_Tooltip_ability_item_snapfire_cookie"											"#{DOTA_Tooltip_ability_item_snapfire_cookie}"
"DOTA_Tooltip_ability_item_snapfire_cookie_Description"								"#{DOTA_Tooltip_ability_item_snapfire_cookie_Description}"
"DOTA_Tooltip_ability_item_snapfire_cookie_Lore"									"#{DOTA_Tooltip_ability_item_snapfire_cookie_Lore}"
"DOTA_Tooltip_ability_item_snapfire_cookie_heal_amount"								"#{DOTA_Tooltip_ability_item_snapfire_cookie_heal_amount}"

// "dota_hud_error_cookie_target_is_rooted"
// "dota_hud_error_cookie_target_is_channeling"

"DOTA_Tooltip_ability_imba_snapfire_lil_shredder"									"#{DOTA_Tooltip_ability_snapfire_lil_shredder}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Description"						"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Description}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Note0"								"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Note0}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Note1"								"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Note1}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_Lore"								"#{DOTA_Tooltip_ability_snapfire_lil_shredder_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_attack_range_bonus"				"#{DOTA_Tooltip_ability_snapfire_lil_shredder_attack_range_bonus}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_damage"							"#{DOTA_Tooltip_ability_snapfire_lil_shredder_damage}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_attack_speed_slow_per_stack"		"#{DOTA_Tooltip_ability_snapfire_lil_shredder_attack_speed_slow_per_stack}"
"DOTA_Tooltip_ability_imba_snapfire_lil_shredder_slow_duration"						"#{DOTA_Tooltip_ability_snapfire_lil_shredder_slow_duration}"
//"DOTA_Tooltip_ability_snapfire_lil_shredder_buff_duration_tooltip"

"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder"								"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_buff}"
"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder_Description"					"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_buff_Description}"

"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder_debuff"							"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_debuff}"
"DOTA_Tooltip_modifier_imba_snapfire_lil_shredder_debuff_Description"				"#{DOTA_Tooltip_modifier_snapfire_lil_shredder_debuff_Description}"

"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses"								"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Description"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Description}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Note0"							"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Note0}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Note1"							"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Note1}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_Lore"							"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_damage_per_impact"				"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_damage_per_impact}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_projectile_count"				"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_projectile_count}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_impact_radius"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_impact_radius}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_burn_damage"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_burn_damage}"	
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_move_slow_pct"					"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_move_slow_pct}"
"DOTA_Tooltip_ability_imba_snapfire_mortimer_kisses_burn_ground_duration"			"#{DOTA_Tooltip_ability_snapfire_mortimer_kisses_burn_ground_duration}"

"DOTA_Tooltip_modifier_imba_snapfire_mortimer_kisses"								"#{DOTA_Tooltip_modifier_snapfire_mortimer_kisses}"
"DOTA_Tooltip_modifier_imba_snapfire_mortimer_kisses_Description"					"#{DOTA_Tooltip_modifier_snapfire_mortimer_kisses_Description}"

"DOTA_Tooltip_modifier_imba_snapfire_magma_burn_slow"								"#{DOTA_Tooltip_modifier_snapfire_magma_burn_slow}"
"DOTA_Tooltip_modifier_imba_snapfire_magma_burn_slow_Description"					"#{DOTA_Tooltip_modifier_snapfire_magma_burn_slow_Description}"

//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_1"		"+{s:value} Mortimer Kisses Launched"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_2"		"+1.5 Lil' Shredder Armor Reduction"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_3"		"Scatterblast Applies {s:value}s Disarm"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_4"		"+{s:value}% Mortimer Kisses Movement Slow"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_5"		"Firesnap Cookie Restores {s:value} Health"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_6"		"Lil' Shredder Uses Your Attack Damage"
//"DOTA_Tooltip_ability_special_bonus_unique_snapfire_7"		"+{s:value} Scatterblast Damage"
