"npc_dota_hero_scaldris"			"Scaldris"
"DOTA_Tooltip_ability_imba_scaldris_scorch_Lore"          "Like a mirage, the desert's heat quickly comes and goes, leaving only painful burns in its wake."
"DOTA_Tooltip_ability_imba_scaldris_scorch_Note0"         "Grants unobstructed vision of the scorched area for a short duration."
"DOTA_Tooltip_ability_imba_scaldris_scorch_effect_radius"     "EFFECT RADIUS:"
"DOTA_Tooltip_ability_imba_scaldris_scorch_blind_amount"      "%MISS CHANCE:"
"DOTA_Tooltip_ability_imba_scaldris_scorch_blind_duration"      "BLIND DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_scorch_duration"        "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_scorch_dps"           "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_scorch_blind"             "Scorch"
"DOTA_Tooltip_modifier_imba_scorch_blind_Description"       "You are blinded, with a chance to miss attacks"

"DOTA_Tooltip_modifier_imba_scorch_dps"               "Scorch"
"DOTA_Tooltip_modifier_imba_scorch_dps_Description"         "Taking fire damage over time"

"DOTA_Tooltip_ability_imba_scaldris_freeze"             "Freeze"
"DOTA_Tooltip_ability_imba_scaldris_freeze_Description"       "Summons a chilling wind that travels in a cone shape. Enemies hit take <font color='#427CFF'>cold</font> damage and are slowed by %slow_amount%%%."
"DOTA_Tooltip_ability_imba_scaldris_freeze_Lore"          "Glacial winds run through the battlefield, chilling all they touch to the very bones."
"DOTA_Tooltip_ability_imba_scaldris_freeze_Note0"         "The wave travels at 450 speed."
"DOTA_Tooltip_ability_imba_scaldris_freeze_wave_distance"     "MAXIMUM RANGE:"
"DOTA_Tooltip_ability_imba_scaldris_freeze_slow_duration"     "#{DOTA_Tooltip_ability_leshrac_lightning_storm_slow_duration}"
"DOTA_Tooltip_ability_imba_scaldris_freeze_damage_duration"     "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_freeze_dps"           "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_freeze_slow"              "Freeze"
"DOTA_Tooltip_modifier_imba_freeze_slow_Description"        "Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_modifier_imba_freeze_dps"               "Freeze"
"DOTA_Tooltip_modifier_imba_freeze_dps_Description"         "Taking ice damage over time"

"DOTA_Tooltip_ability_imba_scaldris_jet_blaze"            "Jet Blaze"
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_Description"      "Propels yourself ahead by spewing a massive cone of fire backwards. Enemies in the cone or in your path take <font color='#FF7800'>fire</font> damage."
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_Lore"         "Invariably called the 'burning fart' by all witnesses of this spell, much to Scaldris' chagrin."
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_Note0"        "Cannot be interrupted, except by higher-priority movement effects."
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_rush_distance"    "MOVEMENT:"
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_cone_length"      "CONE LENGTH:"
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_damage_duration"    "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_jet_blaze_dps"          "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_jet_blaze_dps"              "Jet Blaze"
"DOTA_Tooltip_modifier_imba_jet_blaze_dps_Description"        "Taking fire damage over time"

"DOTA_Tooltip_ability_imba_scaldris_ice_floes"            "Ice Floes"
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_Description"      "Launches an ice tracer to a target location. Upon reaching it, the tracer teleports you to its location. Enemies in the line between your initial and final position during the teleport take <font color='#427CFF'>cold</font> damage and are temporarily stunned."
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_Lore"         "Attuning his body to the thermal gradients in the region, Scaldris easily teleports from one spot to another."
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_Note0"        "The tracer travels at 450 speed."
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_effect_radius"    "EFFECT RADIUS:"
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_stun_duration"    "STUN DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_damage_duration"    "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_ice_floes_dps"          "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_ice_floes_stun"             "Ice Floes"
"DOTA_Tooltip_modifier_imba_ice_floes_stun_Description"       "Stunned, unable to take actions."

"DOTA_Tooltip_modifier_imba_ice_floes_dps"              "Ice Floes"
"DOTA_Tooltip_modifier_imba_ice_floes_dps_Description"        "Taking ice damage over time"

"DOTA_Tooltip_ability_imba_scaldris_living_flame"         "Living Flame"
"DOTA_Tooltip_ability_imba_scaldris_living_flame_Description"   "Summons a living, hungry flame that deals <font color='#FF7800'>fire</font> damage to its host.\n\nIf Living Flame's debuff is ended prematurely by an Antipode proc or the death of its host, it jumps to a random enemy in range, refreshing its duration in the process. If Living Flame's duration expires naturally, its effect ends without spreading. Unaffected by spell block."
"DOTA_Tooltip_ability_imba_scaldris_living_flame_Lore"        "Also known as the everlasting fire, this flame's appetite for destruction is limitless."
"DOTA_Tooltip_ability_imba_scaldris_living_flame_Note0"       "Also grants fogvision of the affected target for its duration."
"DOTA_Tooltip_ability_imba_scaldris_living_flame_jump_radius"   "FLAME JUMP RADIUS:"
"DOTA_Tooltip_ability_imba_scaldris_living_flame_duration"      "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_living_flame_dps"       "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_living_flame_dps"           "Living Flame"
"DOTA_Tooltip_modifier_imba_living_flame_dps_Description"     "Taking fire damage over time"

"DOTA_Tooltip_ability_imba_scaldris_absolute_zero"          "Absolute Zero"
"DOTA_Tooltip_ability_imba_scaldris_absolute_zero_Description"    "Targets an enemy with an unerring sphere utterly devoid of any heat. Upon reaching its mark, the sphere explodes, dealing <font color='#427CFF'>cold</font> damage and freezing it.\n\nThe cold is so intense that, even after being unfrozen, the unit's movement is still slowed by %initial_slow%%%. The slow then decays gradually, as the unit thaws and recovers its movements. Unaffected by spell block."
"DOTA_Tooltip_ability_imba_scaldris_absolute_zero_Lore"       "The name of the spell is quite literal - it is so incredibly cold, even the flow of time stops inside its boundaries."
"DOTA_Tooltip_ability_imba_scaldris_absolute_zero_Note0"      "The sphere travels at 450 speed, and is undisjointable. Stun and slow both pierce spell immunity."
"DOTA_Tooltip_ability_imba_scaldris_absolute_zero_stun_duration"  "STUN DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_absolute_zero_damage_duration"  "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_absolute_zero_dps"        "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_absolute_zero_slow"           "Absolute Zero"
"DOTA_Tooltip_modifier_imba_absolute_zero_slow_Description"     "Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_modifier_imba_absolute_zero_stun"           "Absolute Zero"
"DOTA_Tooltip_modifier_imba_absolute_zero_stun_Description"     "Stunned, unable to take actions."

"DOTA_Tooltip_modifier_imba_absolute_zero_dps"            "Absolute Zero"
"DOTA_Tooltip_modifier_imba_absolute_zero_dps_Description"      "Taking ice damage over time"
